,customer,state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size,Effective To Date
81,VH85817,California,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Personal L3,2,Call Center,Four-Door Car,Medsize,2011-02-26
82,DT85712,California,No,Basic,Doctor,Employed,M,Suburban,Married,Personal Auto,Personal L1,3,Branch,SUV,Medsize,2011-01-27
83,YJ88573,Nevada,No,Basic,Master,Employed,M,Suburban,Married,Personal Auto,Personal L3,2,Call Center,Four-Door Car,Large,2011-01-16
84,SQ19467,Oregon,No,Extended,College,Disabled,F,Suburban,Single,Personal Auto,Personal L3,2,Agent,Four-Door Car,Small,2011-01-27
85,HF88410,Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L2,1,Call Center,Four-Door Car,Medsize,2011-02-28
86,ET79815,California,Yes,Extended,College,Retired,M,Suburban,Married,Personal Auto,Personal L1,1,Agent,Four-Door Car,Medsize,2011-01-25
87,QC35222,California,No,Basic,Bachelor,Employed,F,Urban,Married,Corporate Auto,Corporate L2,3,Web,Four-Door Car,Medsize,2011-01-01
88,CJ15590,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Personal Auto,Personal L2,3,Branch,Four-Door Car,Medsize,2011-02-01
89,OI48267,California,Yes,Extended,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,1,Branch,Four-Door Car,Medsize,2011-02-19
90,JY67916,Oregon,No,Premium,College,Medical Leave,M,Suburban,Married,Personal Auto,Personal L3,2,Branch,Two-Door Car,Small,2011-01-27
91,OE75231,Washington,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,2,Call Center,Two-Door Car,Medsize,2011-02-27
92,CZ33664,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Corporate L3,1,Agent,Four-Door Car,Medsize,2011-01-17
93,WK30175,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,Corporate L1,1,Branch,Two-Door Car,Small,2011-02-10
94,ON44465,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,1,Agent,Four-Door Car,Medsize,2011-01-24
95,TV87155,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L3,1,Branch,Four-Door Car,Large,2011-02-24
96,KH48895,Arizona,No,Basic,Master,Medical Leave,F,Rural,Married,Personal Auto,Personal L3,1,Branch,SUV,Medsize,2011-02-15
97,NZ30757,California,No,Basic,Bachelor,Medical Leave,M,Suburban,Married,Personal Auto,Personal L2,1,Agent,Four-Door Car,Medsize,2011-02-16
98,RI22468,Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Personal L1,3,Web,Four-Door Car,Medsize,2011-01-22
99,FZ30935,Oregon,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Personal L2,1,Agent,Two-Door Car,Small,2011-02-25
100,UG93476,California,Yes,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,1,Agent,SUV,Medsize,2011-01-11
101,AB96670,California,Yes,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,1,Branch,Four-Door Car,Medsize,2011-01-31
102,XK64261,Oregon,No,Basic,Bachelor,Employed,M,Rural,Single,Corporate Auto,Corporate L3,3,Call Center,Two-Door Car,Medsize,2011-01-12
103,EV68375,California,Yes,Premium,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,2,Branch,Four-Door Car,Medsize,2011-02-16
104,UN51653,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,1,Web,SUV,Medsize,2011-02-09
105,TO96662,Oregon,No,Extended,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L3,1,Call Center,Four-Door Car,Small,2011-01-19
106,MR52087,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L1,3,Branch,Four-Door Car,Medsize,2011-01-04
107,DE75225,Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Personal L1,1,Agent,SUV,Medsize,2011-01-09
108,EP80820,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L3,1,Agent,Two-Door Car,Medsize,2011-01-27
109,GU99037,Oregon,No,Basic,College,Employed,M,Urban,Married,Corporate Auto,Corporate L1,4,Agent,Four-Door Car,Medsize,2011-02-14
110,WI57118,California,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,4,Agent,Four-Door Car,Small,2011-02-27
111,YQ74870,Washington,No,Extended,High School or Below,Employed,M,Suburban,Divorced,Corporate Auto,Corporate L2,2,Web,Four-Door Car,Small,2011-02-12
112,MQ14219,Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,2,Branch,SUV,Medsize,2011-02-26
113,KN20603,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Personal L3,1,Agent,Four-Door Car,Medsize,2011-02-20
114,CR48975,Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L2,4,Branch,Four-Door Car,Medsize,2011-02-02
115,JI70886,California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L2,1,Agent,SUV,Medsize,2011-02-15
116,VF72557,Oregon,Yes,Extended,High School or Below,Retired,M,Suburban,Divorced,Personal Auto,Personal L3,2,Agent,SUV,Medsize,2011-02-18
117,OX28638,Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L3,2,Branch,Two-Door Car,Medsize,2011-01-21
118,SK55033,California,No,Basic,Bachelor,Employed,F,Suburban,Single,Personal Auto,Personal L2,3,Agent,Two-Door Car,Medsize,2011-01-15
119,OO88645,California,No,Extended,College,Employed,F,Urban,Married,Corporate Auto,Corporate L2,2,Call Center,Four-Door Car,Medsize,2011-02-05
120,YT36855,Washington,No,Extended,College,Unemployed,M,Suburban,Married,Personal Auto,Personal L2,3,Web,Two-Door Car,Medsize,2011-02-24
121,CW82151,California,No,Basic,Bachelor,Employed,M,Rural,Married,Personal Auto,Personal L3,1,Call Center,Sports Car,Medsize,2011-01-05
122,DY22043,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L3,3,Branch,Two-Door Car,Small,2011-01-28
123,SH36774,California,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Personal L3,3,Web,Luxury SUV,Medsize,2011-01-12
124,EM43724,Nevada,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L3,1,Agent,Four-Door Car,Medsize,2011-02-16
125,FH85960,Oregon,No,Premium,College,Employed,M,Suburban,Divorced,Personal Auto,Personal L2,1,Call Center,Four-Door Car,Medsize,2011-01-03
126,XA55993,Oregon,No,Extended,Master,Employed,F,Rural,Single,Personal Auto,Personal L3,2,Branch,Four-Door Car,Medsize,2011-02-07
127,GO36627,Arizona,No,Extended,College,Employed,M,Urban,Married,Special Auto,Special L2,1,Branch,Four-Door Car,Medsize,2011-01-13
128,QH48047,Oregon,Yes,Basic,College,Retired,M,Suburban,Divorced,Personal Auto,Personal L2,2,Web,Four-Door Car,Medsize,2011-01-03
129,RB50392,Washington,No,Basic,Master,Unemployed,F,Rural,Married,Personal Auto,Personal L1,2,Agent,Four-Door Car,Medsize,2011-02-17
130,UH65059,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L3,1,Agent,Sports Car,Medsize,2011-01-21
131,FV21968,Nevada,No,Basic,Bachelor,Employed,F,Rural,Married,Special Auto,Special L2,1,Branch,Four-Door Car,Medsize,2011-01-26
132,QA87025,Oregon,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Personal L3,1,Call Center,Four-Door Car,Medsize,2011-01-31
133,TQ13499,Arizona,No,Premium,College,Employed,M,Suburban,Married,Personal Auto,Personal L3,1,Agent,Four-Door Car,Small,2011-01-02
134,BU44523,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L2,1,Web,Four-Door Car,Small,2011-02-07
135,MS41162,Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,1,Agent,SUV,Medsize,2011-01-26
136,PU25891,Oregon,No,Basic,High School or Below,Employed,F,Rural,Married,Special Auto,Special L2,1,Branch,Sports Car,Medsize,2011-01-11
137,RB81636,Washington,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,2,Agent,Four-Door Car,Small,2011-01-15
138,SX26335,Oregon,No,Extended,College,Employed,F,Urban,Married,Personal Auto,Personal L3,4,Branch,Four-Door Car,Medsize,2011-02-08
139,AZ95587,Arizona,No,Extended,Bachelor,Employed,F,Urban,Single,Special Auto,Special L3,3,Branch,Four-Door Car,Small,2011-01-11
140,DS81757,Oregon,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,4,Web,Two-Door Car,Large,2011-01-09
141,OJ94107,Arizona,No,Premium,Master,Employed,M,Urban,Married,Personal Auto,Personal L2,1,Call Center,SUV,Medsize,2011-02-04
142,LP84436,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,3,Branch,Sports Car,Medsize,2011-01-21
143,YV64727,Washington,No,Premium,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Corporate L3,3,Agent,SUV,Medsize,2011-02-16
144,LM19287,Oregon,Yes,Extended,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Personal L1,1,Agent,Four-Door Car,Large,2011-02-24
145,ZU18643,Nevada,No,Extended,Bachelor,Employed,M,Urban,Married,Corporate Auto,Corporate L2,4,Web,Four-Door Car,Medsize,2011-01-18
146,AZ82578,California,No,Basic,College,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L3,1,Call Center,Four-Door Car,Medsize,2011-01-30
147,XC67861,Arizona,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L2,1,Call Center,Two-Door Car,Medsize,2011-01-09
148,YC43143,Arizona,No,Extended,High School or Below,Employed,F,Rural,Married,Personal Auto,Personal L3,2,Web,Four-Door Car,Medsize,2011-02-01
149,EK59571,Oregon,Yes,Premium,College,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L2,1,Branch,Four-Door Car,Large,2011-02-28
150,GD83998,Washington,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Personal L2,4,Branch,Four-Door Car,Small,2011-01-31
151,WA25797,Washington,Yes,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,Personal L3,2,Agent,Sports Car,Medsize,2011-02-17
152,PD27940,Arizona,No,Extended,High School or Below,Disabled,M,Suburban,Married,Personal Auto,Personal L3,4,Agent,SUV,Medsize,2011-02-12
153,BS77946,Arizona,No,Extended,Bachelor,Medical Leave,F,Rural,Married,Personal Auto,Personal L1,1,Branch,SUV,Medsize,2011-02-24
154,YM50253,California,No,Basic,Bachelor,Employed,F,Urban,Single,Personal Auto,Personal L3,2,Branch,Four-Door Car,Medsize,2011-02-01
155,NR15332,California,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L2,2,Web,Four-Door Car,Small,2011-02-06
156,RC62865,Oregon,No,Extended,College,Employed,M,Rural,Single,Personal Auto,Personal L2,3,Agent,Four-Door Car,Medsize,2011-01-23
157,CC15295,Oregon,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L2,2,Agent,Four-Door Car,Small,2011-01-21
158,KA61892,Arizona,Yes,Basic,College,Retired,M,Suburban,Married,Personal Auto,Personal L3,2,Agent,Sports Car,Medsize,2011-01-20
159,OS94884,Arizona,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L2,1,Web,Two-Door Car,Large,2011-01-06
160,ND87334,California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L3,2,Agent,Two-Door Car,Medsize,2011-02-22
161,ML93326,Washington,No,Basic,College,Employed,F,Urban,Married,Personal Auto,Personal L1,1,Agent,SUV,Medsize,2011-02-27
162,YL74911,California,Yes,Basic,College,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L3,1,Agent,SUV,Medsize,2011-02-21
163,JP69864,Washington,Yes,Basic,Bachelor,Retired,F,Suburban,Single,Personal Auto,Personal L1,1,Branch,Four-Door Car,Medsize,2011-01-29
164,HL53154,California,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,1,Agent,Four-Door Car,Medsize,2011-02-22
165,RI78966,Oregon,No,Basic,Master,Medical Leave,M,Suburban,Married,Personal Auto,Personal L3,1,Agent,Four-Door Car,Small,2011-02-21
166,IC13702,California,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,1,Agent,Four-Door Car,Small,2011-01-10
167,BE10809,California,Yes,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,1,Agent,Four-Door Car,Small,2011-01-18
168,HT87217,Oregon,No,Extended,High School or Below,Employed,F,Urban,Divorced,Personal Auto,Personal L2,3,Agent,Four-Door Car,Medsize,2011-01-16
169,TH95618,California,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,1,Agent,Four-Door Car,Medsize,2011-01-06
170,TS19868,California,No,Basic,College,Medical Leave,M,Suburban,Married,Personal Auto,Personal L1,4,Branch,Four-Door Car,Medsize,2011-01-27
171,LP45550,Oregon,No,Premium,Doctor,Disabled,F,Urban,Divorced,Personal Auto,Personal L3,2,Agent,Four-Door Car,Medsize,2011-01-15
172,QR87004,Nevada,No,Basic,College,Employed,F,Rural,Divorced,Personal Auto,Personal L3,3,Agent,Four-Door Car,Medsize,2011-01-09
173,OE75747,Nevada,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,3,Agent,Four-Door Car,Small,2011-01-28
174,DX91392,California,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Personal L2,2,Call Center,Four-Door Car,Medsize,2011-02-26
175,AB72731,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L2,2,Call Center,Sports Car,Medsize,2011-01-04
176,RU49126,Washington,No,Basic,College,Employed,F,Rural,Married,Personal Auto,Personal L2,2,Agent,SUV,Medsize,2011-02-01
177,IS12901,Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Personal L3,2,Call Center,Two-Door Car,Medsize,2011-01-27
178,IX37561,Washington,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,3,Web,Two-Door Car,Medsize,2011-02-14
179,HH90090,California,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Personal Auto,Personal L2,2,Call Center,Sports Car,Small,2011-01-23
180,IU25463,California,No,Premium,Bachelor,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,1,Agent,Four-Door Car,Medsize,2011-02-18
181,KC11055,Nevada,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L3,3,Branch,Luxury Car,Medsize,2011-01-24
182,PD33979,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L2,2,Branch,Four-Door Car,Large,2011-02-18
183,NK71023,Nevada,No,Extended,Bachelor,Employed,M,Suburban,Single,Personal Auto,Personal L2,4,Agent,Four-Door Car,Small,2011-01-19
184,AB13432,California,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,1,Agent,SUV,Medsize,2011-01-04
