,Effective To Date
495,2011-02-18
496,2011-02-08
497,2011-01-30
498,2011-01-28
499,2011-01-24
500,2011-02-17
501,2011-02-04
502,2011-01-20
503,2011-02-03
504,2011-02-06
505,2011-01-22
506,2011-02-22
507,2011-01-29
508,2011-01-13
509,2011-02-13
510,2011-02-10
511,2011-01-26
512,2011-02-07
513,2011-01-07
514,2011-01-18
515,2011-02-22
516,2011-01-16
517,2011-01-01
518,2011-02-10
519,2011-01-09
520,2011-02-02
521,2011-02-26
522,2011-02-01
523,2011-02-14
524,2011-02-25
525,2011-02-17
526,2011-02-08
527,2011-02-25
528,2011-02-11
529,2011-01-03
530,2011-01-04
531,2011-01-27
532,2011-01-27
533,2011-02-13
534,2011-01-08
535,2011-02-26
536,2011-02-01
537,2011-01-16
538,2011-02-28
539,2011-02-06
540,2011-02-02
541,2011-01-06
542,2011-02-11
543,2011-01-13
544,2011-02-25
545,2011-02-06
546,2011-02-05
547,2011-01-19
548,2011-01-25
549,2011-01-17
550,2011-02-27
551,2011-02-14
552,2011-01-17
553,2011-02-15
554,2011-01-19
555,2011-02-07
556,2011-01-27
557,2011-01-09
558,2011-02-08
559,2011-02-06
560,2011-01-05
561,2011-01-01
562,2011-02-28
563,2011-02-09
564,2011-01-27
565,2011-01-06
566,2011-01-19
567,2011-01-15
568,2011-01-14
569,2011-02-12
570,2011-01-23
571,2011-01-21
572,2011-01-24
573,2011-02-25
574,2011-01-03
575,2011-02-01
576,2011-02-04
577,2011-01-22
578,2011-02-19
579,2011-01-14
580,2011-02-10
581,2011-02-22
582,2011-01-05
583,2011-02-27
584,2011-01-24
585,2011-01-13
586,2011-01-03
587,2011-02-17
588,2011-01-02
589,2011-02-25
590,2011-02-21
591,2011-02-24
592,2011-02-27
593,2011-02-10
594,2011-02-02
595,2011-01-29
596,2011-01-29
597,2011-02-26
598,2011-01-08
599,2011-02-05
600,2011-02-13
601,2011-02-25
602,2011-02-05
603,2011-02-14
604,2011-01-23
605,2011-01-01
606,2011-02-20
607,2011-01-29
608,2011-02-20
609,2011-02-07
610,2011-02-22
611,2011-01-02
612,2011-01-05
613,2011-01-07
614,2011-01-02
615,2011-01-17
616,2011-01-21
617,2011-02-22
618,2011-02-04
619,2011-02-07
620,2011-01-20
621,2011-02-22
622,2011-01-01
623,2011-02-14
624,2011-01-28
625,2011-01-22
626,2011-01-30
627,2011-01-18
628,2011-02-22
629,2011-01-03
630,2011-01-10
631,2011-01-28
632,2011-02-20
633,2011-01-05
634,2011-02-28
635,2011-02-18
636,2011-01-07
637,2011-02-04
638,2011-02-24
639,2011-02-26
640,2011-02-13
641,2011-02-13
642,2011-02-27
643,2011-02-06
644,2011-01-29
645,2011-01-19
646,2011-01-03
647,2011-01-16
648,2011-02-27
649,2011-01-24
650,2011-02-22
651,2011-01-09
652,2011-01-27
653,2011-01-06
654,2011-02-28
655,2011-01-09
656,2011-02-09
657,2011-01-16
658,2011-01-14
659,2011-02-26
660,2011-01-31
661,2011-01-24
662,2011-01-20
663,2011-01-01
664,2011-01-08
665,2011-02-03
666,2011-01-02
667,2011-01-06
668,2011-01-15
669,2011-01-29
670,2011-02-14
671,2011-01-02
672,2011-01-02
673,2011-02-22
674,2011-01-15
675,2011-02-14
676,2011-02-18
677,2011-01-12
678,2011-01-16
679,2011-01-23
680,2011-01-07
681,2011-01-04
682,2011-01-03
683,2011-01-19
684,2011-01-28
685,2011-01-24
686,2011-01-08
687,2011-02-23
688,2011-01-16
689,2011-01-23
690,2011-01-31
691,2011-01-16
692,2011-02-14
693,2011-01-12
694,2011-01-28
695,2011-02-27
696,2011-01-02
697,2011-01-02
698,2011-01-20
699,2011-01-29
700,2011-01-11
701,2011-01-09
702,2011-02-22
703,2011-01-15
704,2011-02-12
705,2011-01-21
706,2011-02-27
707,2011-02-04
708,2011-01-17
709,2011-01-10
710,2011-02-19
711,2011-01-03
712,2011-01-26
713,2011-02-28
714,2011-01-13
715,2011-01-31
716,2011-02-16
717,2011-01-08
718,2011-02-03
719,2011-02-11
720,2011-01-10
721,2011-02-23
722,2011-01-10
723,2011-01-26
724,2011-02-06
725,2011-01-20
726,2011-02-03
727,2011-02-13
728,2011-01-17
729,2011-02-09
730,2011-01-02
731,2011-02-26
732,2011-02-13
733,2011-02-22
734,2011-02-26
735,2011-02-12
736,2011-01-21
737,2011-02-05
738,2011-02-18
739,2011-01-17
740,2011-02-13
741,2011-02-03
742,2011-01-01
743,2011-02-19
744,2011-02-25
745,2011-02-19
746,2011-02-16
747,2011-02-13
748,2011-01-03
749,2011-02-19
750,2011-01-22
751,2011-01-23
752,2011-02-12
753,2011-02-02
754,2011-02-24
755,2011-01-05
756,2011-02-24
757,2011-02-26
758,2011-01-17
759,2011-01-22
760,2011-01-07
761,2011-01-18
762,2011-01-07
763,2011-02-07
764,2011-01-07
765,2011-01-18
766,2011-01-07
767,2011-01-01
768,2011-02-13
769,2011-02-10
770,2011-01-10
771,2011-01-28
772,2011-01-23
773,2011-02-28
774,2011-01-06
775,2011-01-20
776,2011-02-14
777,2011-01-31
778,2011-01-13
779,2011-01-13
780,2011-01-16
781,2011-02-16
782,2011-01-11
783,2011-02-28
784,2011-01-24
785,2011-02-04
786,2011-01-14
787,2011-02-17
788,2011-01-23
789,2011-02-14
790,2011-02-20
791,2011-01-21
792,2011-01-19
793,2011-02-24
794,2011-02-14
795,2011-01-27
796,2011-02-06
797,2011-02-22
798,2011-01-31
799,2011-01-13
800,2011-01-27
801,2011-01-28
802,2011-01-02
803,2011-01-07
804,2011-01-11
805,2011-01-05
806,2011-02-17
807,2011-02-21
808,2011-02-16
809,2011-01-21
810,2011-02-28
811,2011-02-12
812,2011-02-19
813,2011-02-13
814,2011-02-21
815,2011-01-02
816,2011-02-02
817,2011-01-22
818,2011-02-02
819,2011-02-22
820,2011-01-30
821,2011-01-29
822,2011-01-27
823,2011-01-13
824,2011-02-24
825,2011-01-26
826,2011-01-16
827,2011-01-27
828,2011-01-25
829,2011-02-06
830,2011-01-17
831,2011-02-06
832,2011-02-17
833,2011-01-28
834,2011-02-02
835,2011-01-31
836,2011-02-07
837,2011-01-05
838,2011-02-11
839,2011-02-17
840,2011-01-14
841,2011-01-17
842,2011-02-24
843,2011-02-03
844,2011-01-05
845,2011-01-17
846,2011-02-08
847,2011-02-10
848,2011-01-15
849,2011-01-09
850,2011-01-12
851,2011-01-20
852,2011-01-08
853,2011-02-02
854,2011-02-18
855,2011-01-23
856,2011-02-12
857,2011-02-19
858,2011-01-12
859,2011-01-26
860,2011-02-27
861,2011-01-04
862,2011-02-14
863,2011-01-11
864,2011-01-24
865,2011-02-03
866,2011-01-18
867,2011-01-18
868,2011-02-04
869,2011-02-19
870,2011-01-19
871,2011-01-16
872,2011-02-17
873,2011-01-30
874,2011-02-04
875,2011-01-27
876,2011-01-20
877,2011-02-07
878,2011-01-10
879,2011-02-21
880,2011-02-03
881,2011-01-01
882,2011-02-23
883,2011-01-19
884,2011-01-20
885,2011-02-11
886,2011-01-03
887,2011-02-20
888,2011-01-18
889,2011-02-21
890,2011-01-21
891,2011-02-06
892,2011-02-01
893,2011-01-31
894,2011-02-17
895,2011-01-10
896,2011-01-12
897,2011-02-10
898,2011-01-04
899,2011-01-16
900,2011-01-05
901,2011-01-21
902,2011-01-02
903,2011-02-16
904,2011-01-01
905,2011-02-16
906,2011-01-15
907,2011-01-02
908,2011-01-05
909,2011-02-21
910,2011-02-05
911,2011-01-14
912,2011-02-10
913,2011-01-12
914,2011-01-15
915,2011-02-10
916,2011-02-02
917,2011-02-19
918,2011-01-19
919,2011-01-21
920,2011-01-08
921,2011-01-20
922,2011-01-07
923,2011-01-07
924,2011-01-23
925,2011-02-03
926,2011-01-17
927,2011-02-18
928,2011-02-18
929,2011-01-24
930,2011-01-26
931,2011-01-14
932,2011-01-26
933,2011-01-07
934,2011-02-09
935,2011-01-25
936,2011-01-21
937,2011-02-21
938,2011-02-14
939,2011-01-28
940,2011-02-05
941,2011-02-20
942,2011-02-27
943,2011-01-01
944,2011-01-24
945,2011-01-14
946,2011-02-02
947,2011-01-11
948,2011-01-17
949,2011-01-26
950,2011-02-17
951,2011-02-13
952,2011-02-20
953,2011-01-22
954,2011-02-22
955,2011-01-19
956,2011-02-14
957,2011-01-26
958,2011-01-31
959,2011-02-06
960,2011-01-28
961,2011-01-06
962,2011-02-27
963,2011-02-28
964,2011-01-25
965,2011-02-13
966,2011-01-02
967,2011-02-03
968,2011-02-28
969,2011-01-30
970,2011-01-11
971,2011-01-17
972,2011-01-04
973,2011-02-26
974,2011-01-27
975,2011-01-04
976,2011-02-11
977,2011-01-26
978,2011-02-28
979,2011-02-07
980,2011-02-25
981,2011-01-03
982,2011-01-20
983,2011-02-26
984,2011-02-19
985,2011-02-21
986,2011-01-28
987,2011-01-26
988,2011-01-04
989,2011-01-05
990,2011-02-05
991,2011-01-19
992,2011-02-15
993,2011-02-01
994,2011-02-09
995,2011-02-05
996,2011-01-17
997,2011-02-23
998,2011-02-07
999,2011-02-26
1000,2011-01-19
1001,2011-01-15
1002,2011-01-29
1003,2011-01-07
1004,2011-01-30
1005,2011-02-25
1006,2011-01-21
1007,2011-02-15
1008,2011-01-23
1009,2011-02-28
1010,2011-01-28
1011,2011-01-15
1012,2011-01-11
1013,2011-01-08
1014,2011-02-09
1015,2011-02-26
1016,2011-02-19
1017,2011-01-03
1018,2011-01-27
1019,2011-02-02
1020,2011-01-25
1021,2011-02-12
1022,2011-01-07
1023,2011-01-22
1024,2011-01-12
1025,2011-01-15
1026,2011-01-30
1027,2011-01-19
1028,2011-01-18
1029,2011-02-19
1030,2011-01-10
1031,2011-01-02
1032,2011-02-25
1033,2011-01-15
1034,2011-01-29
1035,2011-02-19
1036,2011-02-10
1037,2011-01-09
1038,2011-02-07
1039,2011-02-09
1040,2011-01-09
1041,2011-01-13
1042,2011-02-04
1043,2011-02-21
1044,2011-01-09
1045,2011-01-11
1046,2011-02-03
1047,2011-02-17
1048,2011-02-26
1049,2011-02-07
1050,2011-01-20
1051,2011-02-21
1052,2011-01-27
1053,2011-01-29
1054,2011-02-05
1055,2011-02-01
1056,2011-01-21
1057,2011-02-22
1058,2011-01-04
1059,2011-02-12
1060,2011-01-11
1061,2011-01-13
1062,2011-01-19
1063,2011-02-08
1064,2011-01-13
1065,2011-02-13
1066,2011-02-10
1067,2011-01-21
1068,2011-02-03
1069,2011-01-16
1070,2011-01-15
1071,2011-02-13
1072,2011-01-28
1073,2011-02-02
1074,2011-02-10
1075,2011-01-02
1076,2011-02-17
1077,2011-01-23
1078,2011-01-19
1079,2011-01-24
1080,2011-02-22
1081,2011-01-17
1082,2011-02-05
1083,2011-01-17
1084,2011-02-21
1085,2011-01-27
1086,2011-02-07
1087,2011-01-13
1088,2011-01-25
1089,2011-02-26
1090,2011-02-16
1091,2011-02-07
1092,2011-02-09
1093,2011-02-18
1094,2011-02-09
1095,2011-01-14
1096,2011-02-17
1097,2011-02-04
1098,2011-01-02
1099,2011-01-01
1100,2011-01-21
1101,2011-02-20
1102,2011-02-21
1103,2011-01-20
1104,2011-01-24
1105,2011-01-28
1106,2011-02-06
1107,2011-02-20
1108,2011-02-02
1109,2011-01-05
1110,2011-02-24
1111,2011-01-09
1112,2011-02-09
1113,2011-01-11
1114,2011-02-06
1115,2011-02-28
1116,2011-01-22
1117,2011-02-05
1118,2011-01-23
1119,2011-01-03
1120,2011-02-15
1121,2011-02-28
1122,2011-02-06
1123,2011-01-17
1124,2011-02-28
1125,2011-01-20
1126,2011-02-22
1127,2011-01-17
1128,2011-02-18
1129,2011-02-25
1130,2011-01-20
1131,2011-02-07
1132,2011-01-27
1133,2011-02-13
1134,2011-02-04
1135,2011-02-16
1136,2011-02-06
1137,2011-02-28
1138,2011-01-14
1139,2011-01-08
1140,2011-01-26
1141,2011-01-07
1142,2011-02-01
1143,2011-02-26
1144,2011-02-24
1145,2011-01-25
1146,2011-01-04
1147,2011-02-23
1148,2011-02-06
1149,2011-01-05
1150,2011-02-13
1151,2011-02-25
1152,2011-01-09
1153,2011-01-12
1154,2011-01-27
1155,2011-02-08
1156,2011-02-03
1157,2011-01-03
1158,2011-02-05
1159,2011-01-10
1160,2011-01-15
1161,2011-02-14
1162,2011-01-28
1163,2011-01-10
1164,2011-02-26
1165,2011-02-23
1166,2011-02-22
1167,2011-02-04
1168,2011-02-24
1169,2011-02-20
1170,2011-02-27
1171,2011-02-05
1172,2011-02-22
1173,2011-02-10
1174,2011-01-20
1175,2011-01-03
1176,2011-01-03
1177,2011-02-21
1178,2011-01-01
1179,2011-02-19
1180,2011-01-25
1181,2011-01-29
1182,2011-02-27
1183,2011-01-11
1184,2011-02-10
1185,2011-01-29
1186,2011-01-02
1187,2011-02-12
1188,2011-02-10
1189,2011-01-05
1190,2011-02-16
1191,2011-02-04
1192,2011-02-18
1193,2011-02-05
1194,2011-01-15
1195,2011-01-21
1196,2011-02-16
1197,2011-01-21
1198,2011-02-07
1199,2011-01-08
1200,2011-02-20
1201,2011-01-05
1202,2011-01-30
1203,2011-01-09
1204,2011-01-27
1205,2011-01-26
1206,2011-01-07
1207,2011-01-20
1208,2011-01-19
1209,2011-02-15
1210,2011-02-20
1211,2011-02-17
1212,2011-01-30
1213,2011-02-12
1214,2011-02-24
1215,2011-01-10
1216,2011-02-17
1217,2011-02-25
1218,2011-02-13
1219,2011-02-21
1220,2011-02-11
1221,2011-02-05
1222,2011-01-16
1223,2011-02-09
1224,2011-01-24
1225,2011-01-28
1226,2011-02-06
1227,2011-01-13
1228,2011-02-17
1229,2011-01-29
1230,2011-01-27
1231,2011-01-21
1232,2011-01-23
1233,2011-02-02
1234,2011-02-04
1235,2011-02-25
1236,2011-01-27
1237,2011-02-24
1238,2011-01-10
1239,2011-01-02
1240,2011-02-18
1241,2011-02-06
1242,2011-01-16
1243,2011-02-13
1244,2011-02-12
1245,2011-02-19
1246,2011-02-20
1247,2011-02-26
1248,2011-01-15
1249,2011-01-26
1250,2011-01-31
1251,2011-02-14
1252,2011-01-06
1253,2011-01-27
1254,2011-01-08
1255,2011-01-27
1256,2011-02-27
1257,2011-01-27
1258,2011-01-13
1259,2011-02-23
1260,2011-01-14
1261,2011-02-26
1262,2011-01-09
1263,2011-02-09
1264,2011-02-23
1265,2011-02-02
1266,2011-02-21
1267,2011-01-23
1268,2011-02-19
1269,2011-01-02
1270,2011-01-01
1271,2011-01-12
1272,2011-02-19
1273,2011-01-26
1274,2011-01-24
1275,2011-01-26
1276,2011-02-01
1277,2011-01-28
1278,2011-01-03
1279,2011-02-22
1280,2011-01-31
1281,2011-02-24
1282,2011-01-10
1283,2011-02-10
1284,2011-02-07
1285,2011-02-04
1286,2011-01-07
1287,2011-01-09
1288,2011-02-20
1289,2011-01-28
1290,2011-01-09
1291,2011-02-07
1292,2011-01-24
1293,2011-02-14
1294,2011-02-13
1295,2011-01-11
1296,2011-01-20
1297,2011-02-16
1298,2011-02-24
1299,2011-01-07
1300,2011-01-15
1301,2011-01-03
1302,2011-02-28
1303,2011-01-31
1304,2011-02-10
1305,2011-02-16
1306,2011-02-14
1307,2011-01-31
1308,2011-01-15
1309,2011-02-15
1310,2011-01-07
1311,2011-01-19
1312,2011-01-20
1313,2011-02-09
1314,2011-01-01
1315,2011-01-05
1316,2011-02-28
1317,2011-01-09
1318,2011-01-24
1319,2011-02-28
1320,2011-02-22
1321,2011-01-10
1322,2011-02-24
1323,2011-02-26
1324,2011-01-06
1325,2011-02-10
1326,2011-02-14
1327,2011-02-26
1328,2011-01-17
1329,2011-02-15
1330,2011-02-04
1331,2011-02-28
1332,2011-02-01
1333,2011-01-25
1334,2011-02-22
1335,2011-01-04
1336,2011-01-20
1337,2011-02-21
1338,2011-02-25
1339,2011-01-29
1340,2011-02-22
1341,2011-01-29
1342,2011-02-15
1343,2011-02-05
1344,2011-01-16
1345,2011-01-22
1346,2011-01-12
1347,2011-01-03
1348,2011-02-11
1349,2011-01-10
1350,2011-02-25
1351,2011-01-06
1352,2011-02-17
1353,2011-01-03
1354,2011-02-18
1355,2011-02-11
1356,2011-01-19
1357,2011-02-18
1358,2011-01-22
1359,2011-02-14
1360,2011-01-02
1361,2011-02-01
1362,2011-01-17
1363,2011-01-31
1364,2011-02-20
1365,2011-02-20
1366,2011-01-22
1367,2011-02-12
1368,2011-02-27
1369,2011-01-03
1370,2011-02-05
1371,2011-01-23
1372,2011-01-01
1373,2011-02-11
1374,2011-02-28
1375,2011-02-12
1376,2011-01-06
1377,2011-01-01
1378,2011-01-20
1379,2011-02-09
1380,2011-02-21
1381,2011-02-06
1382,2011-01-06
1383,2011-02-02
1384,2011-01-15
1385,2011-01-28
1386,2011-01-07
1387,2011-01-23
1388,2011-02-09
1389,2011-01-02
1390,2011-01-30
1391,2011-02-12
1392,2011-01-17
1393,2011-02-17
1394,2011-02-28
1395,2011-01-13
1396,2011-01-16
1397,2011-02-09
1398,2011-01-08
1399,2011-01-30
1400,2011-01-20
1401,2011-01-05
1402,2011-02-19
1403,2011-01-20
1404,2011-01-07
1405,2011-01-21
1406,2011-02-28
1407,2011-01-31
1408,2011-02-09
1409,2011-02-12
1410,2011-01-13
1411,2011-02-05
1412,2011-01-01
1413,2011-01-10
1414,2011-02-15
1415,2011-01-30
1416,2011-02-20
1417,2011-01-22
1418,2011-01-06
1419,2011-01-25
1420,2011-02-18
1421,2011-01-31
1422,2011-01-12
1423,2011-01-12
1424,2011-01-18
1425,2011-01-14
1426,2011-01-18
1427,2011-02-15
1428,2011-02-11
1429,2011-02-18
1430,2011-02-13
1431,2011-02-07
1432,2011-02-21
1433,2011-01-12
1434,2011-01-11
1435,2011-01-30
1436,2011-02-01
1437,2011-02-06
1438,2011-01-06
1439,2011-01-28
1440,2011-01-29
1441,2011-02-19
1442,2011-02-10
1443,2011-02-06
1444,2011-01-14
1445,2011-02-22
1446,2011-02-18
1447,2011-01-22
1448,2011-01-29
1449,2011-01-12
1450,2011-01-25
1451,2011-02-22
1452,2011-01-03
1453,2011-02-21
1454,2011-02-16
1455,2011-01-17
1456,2011-02-15
1457,2011-01-27
1458,2011-01-09
1459,2011-01-15
1460,2011-01-12
1461,2011-01-19
1462,2011-01-31
1463,2011-01-18
1464,2011-01-27
1465,2011-01-24
1466,2011-02-06
1467,2011-02-01
1468,2011-01-14
1469,2011-01-09
1470,2011-01-22
1471,2011-02-14
1472,2011-02-26
1473,2011-01-03
1474,2011-02-16
1475,2011-01-14
1476,2011-02-28
1477,2011-01-21
1478,2011-01-31
1479,2011-01-27
1480,2011-02-08
1481,2011-01-17
1482,2011-01-09
1483,2011-01-06
1484,2011-02-27
1485,2011-01-26
1486,2011-02-11
1487,2011-02-09
1488,2011-02-06
1489,2011-01-08
1490,2011-01-30
1491,2011-02-08
1492,2011-01-02
1493,2011-02-28
1494,2011-01-06
1495,2011-01-28
1496,2011-02-01
1497,2011-02-12
