Customer,State,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Location Code,Marital Status,Policy Type,Policy,Renew Offer Type,Sales Channel,Vehicle Class,Vehicle Size
SV85652,Arizona,No,Basic,College,2011-02-28,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer4,Call Center,Four-Door Car,Small
UL64533,Nevada,No,Extended,High School or Below,2011-01-22,Employed,M,Urban,Married,Corporate Auto,Corporate L2,Offer2,Agent,Luxury SUV,Medsize
PF41800,California,No,Basic,Bachelor,2011-01-25,Unemployed,M,Urban,Married,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize
AO98601,Washington,No,Basic,Bachelor,2011-01-18,Employed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Agent,Two-Door Car,Small
SK67821,Oregon,No,Basic,Bachelor,2011-02-13,Employed,F,Rural,Married,Corporate Auto,Corporate L1,Offer3,Web,Four-Door Car,Medsize
YV55495,Arizona,No,Basic,High School or Below,2011-01-15,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Medsize
KY38074,California,No,Premium,Bachelor,2011-01-08,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small
DM79012,Oregon,No,Extended,Master,2011-02-06,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Small
CM61827,Oregon,No,Extended,Bachelor,2011-01-25,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer3,Agent,Two-Door Car,Small
WC35801,Arizona,No,Basic,High School or Below,2011-02-07,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize
QG25316,Nevada,No,Basic,High School or Below,2011-01-18,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer3,Call Center,Two-Door Car,Medsize
MB98372,Oregon,Yes,Basic,College,2011-01-11,Employed,F,Rural,Single,Corporate Auto,Corporate L3,Offer2,Agent,Two-Door Car,Medsize
IL19217,California,Yes,Extended,Bachelor,2011-01-28,Employed,F,Suburban,Married,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Small
SR38658,Arizona,No,Basic,High School or Below,2011-02-08,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer4,Agent,Sports Car,Medsize
DH41343,Washington,No,Basic,College,2011-02-23,Employed,M,Suburban,Married,Special Auto,Special L2,Offer2,Call Center,Four-Door Car,Large
HG65722,Oregon,No,Premium,Doctor,2011-01-25,Disabled,F,Rural,Married,Personal Auto,Personal L2,Offer1,Branch,SUV,Medsize
BU27331,Arizona,No,Basic,Bachelor,2011-01-31,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer3,Call Center,Four-Door Car,Medsize
XM45289,Oregon,No,Basic,High School or Below,2011-01-02,Employed,F,Suburban,Single,Personal Auto,Personal L2,Offer4,Agent,Two-Door Car,Medsize
KP34198,California,No,Extended,Bachelor,2011-02-07,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L2,Offer2,Call Center,Four-Door Car,Medsize
SH90947,Arizona,No,Basic,High School or Below,2011-01-18,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Offer4,Branch,Four-Door Car,Medsize
WE95729,Oregon,No,Basic,College,2011-01-17,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,SUV,Small
PY51963,California,Yes,Basic,Bachelor,2011-01-11,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L1,Offer1,Web,SUV,Medsize
RB69909,Nevada,No,Basic,High School or Below,2011-02-21,Employed,F,Rural,Married,Special Auto,Special L1,Offer4,Branch,Four-Door Car,Medsize
XR95069,Washington,No,Basic,Bachelor,2011-02-16,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer4,Agent,Four-Door Car,Medsize
FR46645,California,No,Premium,Bachelor,2011-01-17,Disabled,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Small
SY17488,Arizona,No,Extended,College,2011-02-05,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer3,Call Center,Four-Door Car,Small
AP67935,California,No,Basic,College,2011-02-13,Employed,M,Urban,Married,Special Auto,Special L2,Offer2,Branch,Four-Door Car,Medsize
FS37417,Arizona,No,Basic,High School or Below,2011-02-23,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Offer1,Call Center,SUV,Small
ML29312,Oregon,No,Extended,High School or Below,2011-01-28,Disabled,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Call Center,SUV,Medsize
UB61619,Oregon,No,Premium,Master,2011-02-28,Disabled,F,Suburban,Divorced,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize
CD86811,Arizona,Yes,Basic,Bachelor,2011-01-02,Retired,M,Suburban,Divorced,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize
RU83859,California,No,Premium,Bachelor,2011-01-22,Medical Leave,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Call Center,Two-Door Car,Small
FG63582,Oregon,No,Extended,Bachelor,2011-01-15,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Small
NN71951,California,No,Basic,High School or Below,2011-01-27,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize
WB37082,Arizona,No,Basic,Bachelor,2011-01-23,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer3,Branch,Four-Door Car,Large
SM52139,Washington,No,Basic,College,2011-01-31,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer3,Web,Four-Door Car,Medsize
FL82372,Oregon,No,Basic,College,2011-01-26,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer1,Agent,SUV,Medsize
DP45816,Arizona,No,Extended,High School or Below,2011-01-10,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer4,Branch,Two-Door Car,Small
GW33762,Oregon,Yes,Extended,Bachelor,2011-01-27,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Call Center,Two-Door Car,Large
RZ33670,California,No,Premium,College,2011-01-09,Disabled,F,Suburban,Married,Personal Auto,Personal L3,Offer3,Web,Four-Door Car,Medsize
PY70169,Oregon,No,Basic,High School or Below,2011-02-24,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Offer4,Agent,SUV,Medsize
MO91628,Oregon,No,Basic,Master,2011-02-11,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer2,Web,Two-Door Car,Large
HW87852,Oregon,No,Basic,Master,2011-02-12,Medical Leave,M,Suburban,Married,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize
HB20453,Oregon,No,Basic,Bachelor,2011-02-04,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Sports Car,Medsize
BN87372,Oregon,Yes,Basic,Bachelor,2011-01-18,Employed,M,Suburban,Divorced,Personal Auto,Personal L3,Offer2,Branch,Two-Door Car,Medsize
YX23800,Oregon,No,Basic,Bachelor,2011-02-11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Small
DZ87709,Oregon,No,Basic,High School or Below,2011-02-01,Employed,F,Rural,Single,Personal Auto,Personal L1,Offer2,Call Center,Four-Door Car,Medsize
XW13033,Nevada,No,Basic,College,2011-02-15,Employed,M,Suburban,Married,Personal Auto,Personal L1,Offer2,Agent,Four-Door Car,Medsize
LN31673,Washington,No,Extended,College,2011-02-06,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize
OM82309,California,No,Basic,Bachelor,2011-02-27,Employed,M,Rural,Single,Personal Auto,Personal L3,Offer2,Branch,Luxury Car,Small
ZU35962,California,No,Extended,College,2011-01-26,Unemployed,F,Rural,Single,Personal Auto,Personal L3,Offer3,Branch,Two-Door Car,Large
VH85817,California,Yes,Basic,High School or Below,2011-02-26,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Medsize
DT85712,California,No,Basic,Doctor,2011-01-27,Employed,M,Suburban,Married,Personal Auto,Personal L1,Offer3,Branch,SUV,Medsize
YJ88573,Nevada,No,Basic,Master,2011-01-16,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Large
SQ19467,Oregon,No,Extended,College,2011-01-27,Disabled,F,Suburban,Single,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Small
HF88410,Washington,No,Basic,High School or Below,2011-02-28,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Call Center,Four-Door Car,Medsize
ET79815,California,Yes,Extended,College,2011-01-25,Retired,M,Suburban,Married,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize
QC35222,California,No,Basic,Bachelor,2011-01-01,Employed,F,Urban,Married,Corporate Auto,Corporate L2,Offer3,Web,Four-Door Car,Medsize
CJ15590,Oregon,No,Basic,Bachelor,2011-02-01,Employed,F,Suburban,Divorced,Personal Auto,Personal L2,Offer3,Branch,Four-Door Car,Medsize
OI48267,California,Yes,Extended,College,2011-02-19,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize
JY67916,Oregon,No,Premium,College,2011-01-27,Medical Leave,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Two-Door Car,Small
OE75231,Washington,Yes,Extended,Bachelor,2011-02-27,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer2,Call Center,Two-Door Car,Medsize
CZ33664,Oregon,No,Basic,Bachelor,2011-01-17,Employed,F,Rural,Married,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize
WK30175,Oregon,No,Basic,Bachelor,2011-02-10,Employed,M,Suburban,Married,Corporate Auto,Corporate L1,Offer1,Branch,Two-Door Car,Small
ON44465,California,No,Extended,High School or Below,2011-01-24,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize
TV87155,Oregon,No,Basic,Bachelor,2011-02-24,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Large
KH48895,Arizona,No,Basic,Master,2011-02-15,Medical Leave,F,Rural,Married,Personal Auto,Personal L3,Offer1,Branch,SUV,Medsize
NZ30757,California,No,Basic,Bachelor,2011-02-16,Medical Leave,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize
RI22468,Arizona,No,Basic,Bachelor,2011-01-22,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer3,Web,Four-Door Car,Medsize
FZ30935,Oregon,No,Extended,College,2011-02-25,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,Two-Door Car,Small
UG93476,California,Yes,Basic,College,2011-01-11,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize
AB96670,California,Yes,Basic,College,2011-01-31,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Medsize
XK64261,Oregon,No,Basic,Bachelor,2011-01-12,Employed,M,Rural,Single,Corporate Auto,Corporate L3,Offer3,Call Center,Two-Door Car,Medsize
EV68375,California,Yes,Premium,College,2011-02-16,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Medsize
UN51653,California,No,Extended,High School or Below,2011-02-09,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Web,SUV,Medsize
TO96662,Oregon,No,Extended,Bachelor,2011-01-19,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Small
MR52087,California,No,Basic,Bachelor,2011-01-04,Employed,F,Rural,Married,Personal Auto,Personal L1,Offer3,Branch,Four-Door Car,Medsize
DE75225,Oregon,No,Basic,High School or Below,2011-01-09,Unemployed,M,Suburban,Married,Personal Auto,Personal L1,Offer1,Agent,SUV,Medsize
EP80820,California,No,Basic,Bachelor,2011-01-27,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Medsize
GU99037,Oregon,No,Basic,College,2011-02-14,Employed,M,Urban,Married,Corporate Auto,Corporate L1,Offer4,Agent,Four-Door Car,Medsize
WI57118,California,No,Extended,College,2011-02-27,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer4,Agent,Four-Door Car,Small
YQ74870,Washington,No,Extended,High School or Below,2011-02-12,Employed,M,Suburban,Divorced,Corporate Auto,Corporate L2,Offer2,Web,Four-Door Car,Small
MQ14219,Arizona,No,Basic,College,2011-02-26,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,SUV,Medsize
KN20603,Oregon,No,Basic,Bachelor,2011-02-20,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize
CR48975,Washington,No,Basic,High School or Below,2011-02-02,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer4,Branch,Four-Door Car,Medsize
JI70886,California,No,Basic,High School or Below,2011-02-15,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Agent,SUV,Medsize
VF72557,Oregon,Yes,Extended,High School or Below,2011-02-18,Retired,M,Suburban,Divorced,Personal Auto,Personal L3,Offer2,Agent,SUV,Medsize
OX28638,Arizona,No,Extended,High School or Below,2011-01-21,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Two-Door Car,Medsize
SK55033,California,No,Basic,Bachelor,2011-01-15,Employed,F,Suburban,Single,Personal Auto,Personal L2,Offer3,Agent,Two-Door Car,Medsize
OO88645,California,No,Extended,College,2011-02-05,Employed,F,Urban,Married,Corporate Auto,Corporate L2,Offer2,Call Center,Four-Door Car,Medsize
YT36855,Washington,No,Extended,College,2011-02-24,Unemployed,M,Suburban,Married,Personal Auto,Personal L2,Offer3,Web,Two-Door Car,Medsize
CW82151,California,No,Basic,Bachelor,2011-01-05,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer1,Call Center,Sports Car,Medsize
DY22043,Oregon,No,Basic,High School or Below,2011-01-28,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer3,Branch,Two-Door Car,Small
SH36774,California,No,Basic,High School or Below,2011-01-12,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer3,Web,Luxury SUV,Medsize
EM43724,Nevada,No,Basic,Bachelor,2011-02-16,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize
FH85960,Oregon,No,Premium,College,2011-01-03,Employed,M,Suburban,Divorced,Personal Auto,Personal L2,Offer1,Call Center,Four-Door Car,Medsize
XA55993,Oregon,No,Extended,Master,2011-02-07,Employed,F,Rural,Single,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Medsize
GO36627,Arizona,No,Extended,College,2011-01-13,Employed,M,Urban,Married,Special Auto,Special L2,Offer1,Branch,Four-Door Car,Medsize
QH48047,Oregon,Yes,Basic,College,2011-01-03,Retired,M,Suburban,Divorced,Personal Auto,Personal L2,Offer2,Web,Four-Door Car,Medsize
RB50392,Washington,No,Basic,Master,2011-02-17,Unemployed,F,Rural,Married,Personal Auto,Personal L1,Offer2,Agent,Four-Door Car,Medsize
UH65059,Arizona,No,Basic,High School or Below,2011-01-21,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Sports Car,Medsize
FV21968,Nevada,No,Basic,Bachelor,2011-01-26,Employed,F,Rural,Married,Special Auto,Special L2,Offer1,Branch,Four-Door Car,Medsize
QA87025,Oregon,No,Basic,Bachelor,2011-01-31,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize
TQ13499,Arizona,No,Premium,College,2011-01-02,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small
BU44523,Arizona,No,Basic,High School or Below,2011-02-07,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L2,Offer1,Web,Four-Door Car,Small
MS41162,Arizona,No,Basic,High School or Below,2011-01-26,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize
PU25891,Oregon,No,Basic,High School or Below,2011-01-11,Employed,F,Rural,Married,Special Auto,Special L2,Offer1,Branch,Sports Car,Medsize
RB81636,Washington,No,Basic,College,2011-01-15,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Small
SX26335,Oregon,No,Extended,College,2011-02-08,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer4,Branch,Four-Door Car,Medsize
AZ95587,Arizona,No,Extended,Bachelor,2011-01-11,Employed,F,Urban,Single,Special Auto,Special L3,Offer3,Branch,Four-Door Car,Small
DS81757,Oregon,No,Basic,College,2011-01-09,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Offer4,Web,Two-Door Car,Large
OJ94107,Arizona,No,Premium,Master,2011-02-04,Employed,M,Urban,Married,Personal Auto,Personal L2,Offer1,Call Center,SUV,Medsize
LP84436,California,No,Extended,High School or Below,2011-01-21,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer3,Branch,Sports Car,Medsize
YV64727,Washington,No,Premium,High School or Below,2011-02-16,Employed,M,Suburban,Married,Corporate Auto,Corporate L3,Offer3,Agent,SUV,Medsize
LM19287,Oregon,Yes,Extended,High School or Below,2011-02-24,Unemployed,F,Suburban,Married,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Large
ZU18643,Nevada,No,Extended,Bachelor,2011-01-18,Employed,M,Urban,Married,Corporate Auto,Corporate L2,Offer4,Web,Four-Door Car,Medsize
AZ82578,California,No,Basic,College,2011-01-30,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Call Center,Four-Door Car,Medsize
XC67861,Arizona,No,Basic,Bachelor,2011-01-09,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L2,Offer1,Call Center,Two-Door Car,Medsize
YC43143,Arizona,No,Extended,High School or Below,2011-02-01,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Medsize
EK59571,Oregon,Yes,Premium,College,2011-02-28,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Branch,Four-Door Car,Large
GD83998,Washington,No,Basic,Bachelor,2011-01-31,Employed,M,Suburban,Single,Personal Auto,Personal L2,Offer4,Branch,Four-Door Car,Small
WA25797,Washington,Yes,Basic,High School or Below,2011-02-17,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer2,Agent,Sports Car,Medsize
PD27940,Arizona,No,Extended,High School or Below,2011-02-12,Disabled,M,Suburban,Married,Personal Auto,Personal L3,Offer4,Agent,SUV,Medsize
BS77946,Arizona,No,Extended,Bachelor,2011-02-24,Medical Leave,F,Rural,Married,Personal Auto,Personal L1,Offer1,Branch,SUV,Medsize
YM50253,California,No,Basic,Bachelor,2011-02-01,Employed,F,Urban,Single,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Medsize
NR15332,California,No,Basic,High School or Below,2011-02-06,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Web,Four-Door Car,Small
RC62865,Oregon,No,Extended,College,2011-01-23,Employed,M,Rural,Single,Personal Auto,Personal L2,Offer3,Agent,Four-Door Car,Medsize
CC15295,Oregon,No,Extended,Bachelor,2011-01-21,Employed,F,Suburban,Married,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Small
KA61892,Arizona,Yes,Basic,College,2011-01-20,Retired,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,Sports Car,Medsize
OS94884,Arizona,No,Basic,Bachelor,2011-01-06,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer1,Web,Two-Door Car,Large
ND87334,California,No,Basic,High School or Below,2011-02-22,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L3,Offer2,Agent,Two-Door Car,Medsize
ML93326,Washington,No,Basic,College,2011-02-27,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer1,Agent,SUV,Medsize
YL74911,California,Yes,Basic,College,2011-02-21,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize
JP69864,Washington,Yes,Basic,Bachelor,2011-01-29,Retired,F,Suburban,Single,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Medsize
HL53154,California,No,Extended,Bachelor,2011-02-22,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize
RI78966,Oregon,No,Basic,Master,2011-02-21,Medical Leave,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small
IC13702,California,No,Basic,Bachelor,2011-01-10,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small
BE10809,California,Yes,Basic,High School or Below,2011-01-18,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Small
HT87217,Oregon,No,Extended,High School or Below,2011-01-16,Employed,F,Urban,Divorced,Personal Auto,Personal L2,Offer3,Agent,Four-Door Car,Medsize
TH95618,California,No,Basic,High School or Below,2011-01-06,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize
TS19868,California,No,Basic,College,2011-01-27,Medical Leave,M,Suburban,Married,Personal Auto,Personal L1,Offer4,Branch,Four-Door Car,Medsize
LP45550,Oregon,No,Premium,Doctor,2011-01-15,Disabled,F,Urban,Divorced,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Medsize
QR87004,Nevada,No,Basic,College,2011-01-09,Employed,F,Rural,Divorced,Personal Auto,Personal L3,Offer3,Agent,Four-Door Car,Medsize
OE75747,Nevada,No,Basic,College,2011-01-28,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Offer3,Agent,Four-Door Car,Small
DX91392,California,Yes,Basic,High School or Below,2011-02-26,Employed,M,Suburban,Single,Personal Auto,Personal L2,Offer2,Call Center,Four-Door Car,Medsize
AB72731,California,No,Basic,Bachelor,2011-01-04,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer2,Call Center,Sports Car,Medsize
RU49126,Washington,No,Basic,College,2011-02-01,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer2,Agent,SUV,Medsize
IS12901,Arizona,No,Basic,Bachelor,2011-01-27,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer2,Call Center,Two-Door Car,Medsize
IX37561,Washington,No,Basic,College,2011-02-14,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer3,Web,Two-Door Car,Medsize
HH90090,California,No,Basic,Bachelor,2011-01-23,Employed,F,Suburban,Divorced,Personal Auto,Personal L2,Offer2,Call Center,Sports Car,Small
IU25463,California,No,Premium,Bachelor,2011-02-18,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize
KC11055,Nevada,No,Extended,Bachelor,2011-01-24,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer3,Branch,Luxury Car,Medsize
