,alpha_customer,customer,state,response,coverage,education,employment_status,gender,location_code,marital_status,policy_type,policy,policy_n,renew_offer_type,sales_channel,vehicle_class,vehicle_size
72,HW,87852,Oregon,No,Basic,Master,Medical Leave,M,Suburban,Married,Personal Auto,Personal L,1,1,Agent,Four-Door Car,Medsize
73,HB,20453,Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L,3,1,Agent,Sports Car,Medsize
74,BN,87372,Oregon,Yes,Basic,Bachelor,Employed,M,Suburban,Divorced,Personal Auto,Personal L,3,2,Branch,Two-Door Car,Medsize
75,YX,23800,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Personal L,3,2,Branch,Four-Door Car,Small
76,DZ,87709,Oregon,No,Basic,High School or Below,Employed,F,Rural,Single,Personal Auto,Personal L,1,2,Call Center,Four-Door Car,Medsize
77,XW,13033,Nevada,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L,1,2,Agent,Four-Door Car,Medsize
78,LN,31673,Washington,No,Extended,College,Employed,M,Rural,Married,Personal Auto,Personal L,3,1,Agent,Four-Door Car,Medsize
79,OM,82309,California,No,Basic,Bachelor,Employed,M,Rural,Single,Personal Auto,Personal L,3,2,Branch,Luxury Car,Small
80,ZU,35962,California,No,Extended,College,Unemployed,F,Rural,Single,Personal Auto,Personal L,3,3,Branch,Two-Door Car,Large
81,VH,85817,California,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Personal L,3,2,Call Center,Four-Door Car,Medsize
82,DT,85712,California,No,Basic,Doctor,Employed,M,Suburban,Married,Personal Auto,Personal L,1,3,Branch,SUV,Medsize
83,YJ,88573,Nevada,No,Basic,Master,Employed,M,Suburban,Married,Personal Auto,Personal L,3,2,Call Center,Four-Door Car,Large
84,SQ,19467,Oregon,No,Extended,College,Disabled,F,Suburban,Single,Personal Auto,Personal L,3,2,Agent,Four-Door Car,Small
85,HF,88410,Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L,2,1,Call Center,Four-Door Car,Medsize
86,ET,79815,California,Yes,Extended,College,Retired,M,Suburban,Married,Personal Auto,Personal L,1,1,Agent,Four-Door Car,Medsize
87,QC,35222,California,No,Basic,Bachelor,Employed,F,Urban,Married,Corporate Auto,Corporate L,2,3,Web,Four-Door Car,Medsize
88,CJ,15590,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Personal Auto,Personal L,2,3,Branch,Four-Door Car,Medsize
89,OI,48267,California,Yes,Extended,College,Employed,M,Suburban,Married,Personal Auto,Personal L,3,1,Branch,Four-Door Car,Medsize
90,JY,67916,Oregon,No,Premium,College,Medical Leave,M,Suburban,Married,Personal Auto,Personal L,3,2,Branch,Two-Door Car,Small
91,OE,75231,Washington,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Corporate Auto,Corporate L,3,2,Call Center,Two-Door Car,Medsize
92,CZ,33664,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,Corporate L,3,1,Agent,Four-Door Car,Medsize
93,WK,30175,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,Corporate L,1,1,Branch,Two-Door Car,Small
94,ON,44465,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L,2,1,Agent,Four-Door Car,Medsize
95,TV,87155,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L,3,1,Branch,Four-Door Car,Large
96,KH,48895,Arizona,No,Basic,Master,Medical Leave,F,Rural,Married,Personal Auto,Personal L,3,1,Branch,SUV,Medsize
97,NZ,30757,California,No,Basic,Bachelor,Medical Leave,M,Suburban,Married,Personal Auto,Personal L,2,1,Agent,Four-Door Car,Medsize
98,RI,22468,Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Personal L,1,3,Web,Four-Door Car,Medsize
99,FZ,30935,Oregon,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Personal L,2,1,Agent,Two-Door Car,Small
100,UG,93476,California,Yes,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Personal L,3,1,Agent,SUV,Medsize
101,AB,96670,California,Yes,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L,1,1,Branch,Four-Door Car,Medsize
102,XK,64261,Oregon,No,Basic,Bachelor,Employed,M,Rural,Single,Corporate Auto,Corporate L,3,3,Call Center,Two-Door Car,Medsize
103,EV,68375,California,Yes,Premium,College,Employed,M,Suburban,Married,Personal Auto,Personal L,3,2,Branch,Four-Door Car,Medsize
104,UN,51653,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L,3,1,Web,SUV,Medsize
105,TO,96662,Oregon,No,Extended,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L,3,1,Call Center,Four-Door Car,Small
106,MR,52087,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L,1,3,Branch,Four-Door Car,Medsize
107,DE,75225,Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Personal L,1,1,Agent,SUV,Medsize
108,EP,80820,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L,3,1,Agent,Two-Door Car,Medsize
109,GU,99037,Oregon,No,Basic,College,Employed,M,Urban,Married,Corporate Auto,Corporate L,1,4,Agent,Four-Door Car,Medsize
110,WI,57118,California,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Personal L,3,4,Agent,Four-Door Car,Small
111,YQ,74870,Washington,No,Extended,High School or Below,Employed,M,Suburban,Divorced,Corporate Auto,Corporate L,2,2,Web,Four-Door Car,Small
112,MQ,14219,Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Personal L,3,2,Branch,SUV,Medsize
113,KN,20603,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Personal L,3,1,Agent,Four-Door Car,Medsize
114,CR,48975,Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L,2,4,Branch,Four-Door Car,Medsize
115,JI,70886,California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L,2,1,Agent,SUV,Medsize
116,VF,72557,Oregon,Yes,Extended,High School or Below,Retired,M,Suburban,Divorced,Personal Auto,Personal L,3,2,Agent,SUV,Medsize
117,OX,28638,Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L,3,2,Branch,Two-Door Car,Medsize
118,SK,55033,California,No,Basic,Bachelor,Employed,F,Suburban,Single,Personal Auto,Personal L,2,3,Agent,Two-Door Car,Medsize
119,OO,88645,California,No,Extended,College,Employed,F,Urban,Married,Corporate Auto,Corporate L,2,2,Call Center,Four-Door Car,Medsize
120,YT,36855,Washington,No,Extended,College,Unemployed,M,Suburban,Married,Personal Auto,Personal L,2,3,Web,Two-Door Car,Medsize
121,CW,82151,California,No,Basic,Bachelor,Employed,M,Rural,Married,Personal Auto,Personal L,3,1,Call Center,Sports Car,Medsize
122,DY,22043,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L,3,3,Branch,Two-Door Car,Small
123,SH,36774,California,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Personal L,3,3,Web,Luxury SUV,Medsize
124,EM,43724,Nevada,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L,3,1,Agent,Four-Door Car,Medsize
125,FH,85960,Oregon,No,Premium,College,Employed,M,Suburban,Divorced,Personal Auto,Personal L,2,1,Call Center,Four-Door Car,Medsize
126,XA,55993,Oregon,No,Extended,Master,Employed,F,Rural,Single,Personal Auto,Personal L,3,2,Branch,Four-Door Car,Medsize
127,GO,36627,Arizona,No,Extended,College,Employed,M,Urban,Married,Special Auto,Special L,2,1,Branch,Four-Door Car,Medsize
128,QH,48047,Oregon,Yes,Basic,College,Retired,M,Suburban,Divorced,Personal Auto,Personal L,2,2,Web,Four-Door Car,Medsize
129,RB,50392,Washington,No,Basic,Master,Unemployed,F,Rural,Married,Personal Auto,Personal L,1,2,Agent,Four-Door Car,Medsize
130,UH,65059,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L,3,1,Agent,Sports Car,Medsize
131,FV,21968,Nevada,No,Basic,Bachelor,Employed,F,Rural,Married,Special Auto,Special L,2,1,Branch,Four-Door Car,Medsize
132,QA,87025,Oregon,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Personal L,3,1,Call Center,Four-Door Car,Medsize
133,TQ,13499,Arizona,No,Premium,College,Employed,M,Suburban,Married,Personal Auto,Personal L,3,1,Agent,Four-Door Car,Small
134,BU,44523,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L,2,1,Web,Four-Door Car,Small
135,MS,41162,Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L,3,1,Agent,SUV,Medsize
136,PU,25891,Oregon,No,Basic,High School or Below,Employed,F,Rural,Married,Special Auto,Special L,2,1,Branch,Sports Car,Medsize
137,RB,81636,Washington,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L,2,2,Agent,Four-Door Car,Small
138,SX,26335,Oregon,No,Extended,College,Employed,F,Urban,Married,Personal Auto,Personal L,3,4,Branch,Four-Door Car,Medsize
139,AZ,95587,Arizona,No,Extended,Bachelor,Employed,F,Urban,Single,Special Auto,Special L,3,3,Branch,Four-Door Car,Small
140,DS,81757,Oregon,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L,1,4,Web,Two-Door Car,Large
141,OJ,94107,Arizona,No,Premium,Master,Employed,M,Urban,Married,Personal Auto,Personal L,2,1,Call Center,SUV,Medsize
142,LP,84436,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L,2,3,Branch,Sports Car,Medsize
143,YV,64727,Washington,No,Premium,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Corporate L,3,3,Agent,SUV,Medsize
144,LM,19287,Oregon,Yes,Extended,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Personal L,1,1,Agent,Four-Door Car,Large
145,ZU,18643,Nevada,No,Extended,Bachelor,Employed,M,Urban,Married,Corporate Auto,Corporate L,2,4,Web,Four-Door Car,Medsize
146,AZ,82578,California,No,Basic,College,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L,3,1,Call Center,Four-Door Car,Medsize
147,XC,67861,Arizona,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L,2,1,Call Center,Two-Door Car,Medsize
148,YC,43143,Arizona,No,Extended,High School or Below,Employed,F,Rural,Married,Personal Auto,Personal L,3,2,Web,Four-Door Car,Medsize
149,EK,59571,Oregon,Yes,Premium,College,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L,2,1,Branch,Four-Door Car,Large
150,GD,83998,Washington,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Personal L,2,4,Branch,Four-Door Car,Small
151,WA,25797,Washington,Yes,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,Personal L,3,2,Agent,Sports Car,Medsize
152,PD,27940,Arizona,No,Extended,High School or Below,Disabled,M,Suburban,Married,Personal Auto,Personal L,3,4,Agent,SUV,Medsize
153,BS,77946,Arizona,No,Extended,Bachelor,Medical Leave,F,Rural,Married,Personal Auto,Personal L,1,1,Branch,SUV,Medsize
154,YM,50253,California,No,Basic,Bachelor,Employed,F,Urban,Single,Personal Auto,Personal L,3,2,Branch,Four-Door Car,Medsize
155,NR,15332,California,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L,2,2,Web,Four-Door Car,Small
156,RC,62865,Oregon,No,Extended,College,Employed,M,Rural,Single,Personal Auto,Personal L,2,3,Agent,Four-Door Car,Medsize
157,CC,15295,Oregon,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L,2,2,Agent,Four-Door Car,Small
158,KA,61892,Arizona,Yes,Basic,College,Retired,M,Suburban,Married,Personal Auto,Personal L,3,2,Agent,Sports Car,Medsize
159,OS,94884,Arizona,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L,2,1,Web,Two-Door Car,Large
160,ND,87334,California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L,3,2,Agent,Two-Door Car,Medsize
161,ML,93326,Washington,No,Basic,College,Employed,F,Urban,Married,Personal Auto,Personal L,1,1,Agent,SUV,Medsize
162,YL,74911,California,Yes,Basic,College,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L,3,1,Agent,SUV,Medsize
163,JP,69864,Washington,Yes,Basic,Bachelor,Retired,F,Suburban,Single,Personal Auto,Personal L,1,1,Branch,Four-Door Car,Medsize
164,HL,53154,California,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L,3,1,Agent,Four-Door Car,Medsize
165,RI,78966,Oregon,No,Basic,Master,Medical Leave,M,Suburban,Married,Personal Auto,Personal L,3,1,Agent,Four-Door Car,Small
166,IC,13702,California,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L,3,1,Agent,Four-Door Car,Small
167,BE,10809,California,Yes,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L,1,1,Agent,Four-Door Car,Small
168,HT,87217,Oregon,No,Extended,High School or Below,Employed,F,Urban,Divorced,Personal Auto,Personal L,2,3,Agent,Four-Door Car,Medsize
169,TH,95618,California,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Personal L,2,1,Agent,Four-Door Car,Medsize
170,TS,19868,California,No,Basic,College,Medical Leave,M,Suburban,Married,Personal Auto,Personal L,1,4,Branch,Four-Door Car,Medsize
171,LP,45550,Oregon,No,Premium,Doctor,Disabled,F,Urban,Divorced,Personal Auto,Personal L,3,2,Agent,Four-Door Car,Medsize
172,QR,87004,Nevada,No,Basic,College,Employed,F,Rural,Divorced,Personal Auto,Personal L,3,3,Agent,Four-Door Car,Medsize
173,OE,75747,Nevada,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Personal L,2,3,Agent,Four-Door Car,Small
174,DX,91392,California,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Personal L,2,2,Call Center,Four-Door Car,Medsize
175,AB,72731,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L,2,2,Call Center,Sports Car,Medsize
176,RU,49126,Washington,No,Basic,College,Employed,F,Rural,Married,Personal Auto,Personal L,2,2,Agent,SUV,Medsize
177,IS,12901,Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Personal L,3,2,Call Center,Two-Door Car,Medsize
178,IX,37561,Washington,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L,3,3,Web,Two-Door Car,Medsize
179,HH,90090,California,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Personal Auto,Personal L,2,2,Call Center,Sports Car,Small
180,IU,25463,California,No,Premium,Bachelor,Unemployed,F,Suburban,Married,Personal Auto,Personal L,2,1,Agent,Four-Door Car,Medsize
181,KC,11055,Nevada,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L,3,3,Branch,Luxury Car,Medsize
182,PD,33979,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L,2,2,Branch,Four-Door Car,Large
183,NK,71023,Nevada,No,Extended,Bachelor,Employed,M,Suburban,Single,Personal Auto,Personal L,2,4,Agent,Four-Door Car,Small
184,AB,13432,California,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L,3,1,Agent,SUV,Medsize
185,OZ,97704,California,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal Auto,Personal L,3,3,Call Center,SUV,Small
186,UF,46533,California,No,Basic,College,Employed,F,Suburban,Single,Corporate Auto,Corporate L,3,2,Branch,SUV,Medsize
187,XP,47431,Arizona,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L,1,2,Agent,SUV,Medsize
188,GK,73582,California,No,Extended,Bachelor,Employed,F,Urban,Single,Personal Auto,Personal L,1,3,Branch,Four-Door Car,Medsize
189,RV,98763,Oregon,No,Extended,College,Employed,M,Urban,Married,Personal Auto,Personal L,3,3,Branch,Four-Door Car,Medsize
190,II,62831,California,No,Basic,Master,Employed,M,Urban,Married,Special Auto,Special L,2,4,Web,SUV,Medsize
191,XK,33449,California,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Special Auto,Special L,3,4,Branch,Two-Door Car,Small
192,TR,85083,California,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Personal L,3,2,Branch,Two-Door Car,Medsize
193,EO,95328,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L,2,4,Agent,Two-Door Car,Small
194,EN,21086,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L,2,1,Branch,Four-Door Car,Small
195,YL,83902,Washington,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Personal L,3,1,Agent,Four-Door Car,Small
196,AZ,62651,Oregon,No,Premium,High School or Below,Employed,M,Suburban,Single,Corporate Auto,Corporate L,3,4,Web,Luxury SUV,Medsize
197,ZW,25874,Oregon,No,Basic,Bachelor,Employed,M,Rural,Single,Special Auto,Special L,3,1,Branch,Four-Door Car,Medsize
