,state,response,coverage,education,effective_to_date,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
23,Nevada,No,Basic,Bachelor,2011-02-24,Unemployed,F,Suburban,Single,Corporate Auto,3,1,Branch,Four-Door Car,Medsize
24,California,No,Basic,Bachelor,2011-02-05,Disabled,F,Suburban,Married,Corporate Auto,2,2,Branch,Four-Door Car,Medsize
25,Oregon,No,Basic,College,2011-01-29,Employed,M,Suburban,Married,Personal Auto,3,2,Call Center,Four-Door Car,Large
26,California,No,Premium,Bachelor,2011-02-28,Unemployed,F,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Small
27,Washington,No,Extended,Master,2011-02-12,Disabled,F,Urban,Married,Corporate Auto,1,1,Branch,SUV,Medsize
28,Arizona,No,Premium,College,2011-02-02,Employed,F,Suburban,Single,Personal Auto,3,1,Call Center,Four-Door Car,Large
29,Oregon,No,Extended,Master,2011-02-07,Employed,F,Suburban,Married,Personal Auto,3,2,Branch,Four-Door Car,Small
30,Arizona,No,Basic,College,2011-02-28,Employed,M,Suburban,Married,Personal Auto,2,4,Call Center,Four-Door Car,Small
31,Nevada,No,Extended,High School or Below,2011-01-22,Employed,M,Urban,Married,Corporate Auto,2,2,Agent,Luxury SUV,Medsize
32,California,No,Basic,Bachelor,2011-01-25,Unemployed,M,Urban,Married,Personal Auto,3,1,Call Center,Four-Door Car,Medsize
33,Washington,No,Basic,Bachelor,2011-01-18,Employed,M,Suburban,Married,Corporate Auto,2,1,Agent,Two-Door Car,Small
34,Oregon,No,Basic,Bachelor,2011-02-13,Employed,F,Rural,Married,Corporate Auto,1,3,Web,Four-Door Car,Medsize
35,Arizona,No,Basic,High School or Below,2011-01-15,Employed,F,Urban,Married,Personal Auto,1,1,Branch,Four-Door Car,Medsize
36,California,No,Premium,Bachelor,2011-01-08,Employed,M,Suburban,Married,Personal Auto,3,1,Agent,Four-Door Car,Small
37,Oregon,No,Extended,Master,2011-02-06,Employed,F,Suburban,Married,Personal Auto,3,2,Web,Four-Door Car,Small
38,Oregon,No,Extended,Bachelor,2011-01-25,Unemployed,M,Suburban,Single,Personal Auto,2,3,Agent,Two-Door Car,Small
39,Arizona,No,Basic,High School or Below,2011-02-07,Employed,M,Rural,Divorced,Personal Auto,3,1,Call Center,Four-Door Car,Medsize
40,Nevada,No,Basic,High School or Below,2011-01-18,Unemployed,F,Suburban,Married,Corporate Auto,3,3,Call Center,Two-Door Car,Medsize
41,Oregon,Yes,Basic,College,2011-01-11,Employed,F,Rural,Single,Corporate Auto,3,2,Agent,Two-Door Car,Medsize
42,California,Yes,Extended,Bachelor,2011-01-28,Employed,F,Suburban,Married,Personal Auto,2,2,Agent,Four-Door Car,Small
43,Arizona,No,Basic,High School or Below,2011-02-08,Employed,M,Suburban,Married,Personal Auto,2,4,Agent,Sports Car,Medsize
44,Washington,No,Basic,College,2011-02-23,Employed,M,Suburban,Married,Special Auto,2,2,Call Center,Four-Door Car,Large
45,Oregon,No,Premium,Doctor,2011-01-25,Disabled,F,Rural,Married,Personal Auto,2,1,Branch,SUV,Medsize
46,Arizona,No,Basic,Bachelor,2011-01-31,Unemployed,M,Suburban,Single,Personal Auto,3,3,Call Center,Four-Door Car,Medsize
47,Oregon,No,Basic,High School or Below,2011-01-02,Employed,F,Suburban,Single,Personal Auto,2,4,Agent,Two-Door Car,Medsize
48,California,No,Extended,Bachelor,2011-02-07,Unemployed,F,Suburban,Married,Corporate Auto,2,2,Call Center,Four-Door Car,Medsize
49,Arizona,No,Basic,High School or Below,2011-01-18,Unemployed,F,Suburban,Married,Personal Auto,2,4,Branch,Four-Door Car,Medsize
50,Oregon,No,Basic,College,2011-01-17,Employed,M,Suburban,Married,Personal Auto,2,1,Agent,SUV,Small
51,California,Yes,Basic,Bachelor,2011-01-11,Employed,F,Suburban,Divorced,Corporate Auto,1,1,Web,SUV,Medsize
52,Nevada,No,Basic,High School or Below,2011-02-21,Employed,F,Rural,Married,Special Auto,1,4,Branch,Four-Door Car,Medsize
53,Washington,No,Basic,Bachelor,2011-02-16,Employed,M,Suburban,Single,Personal Auto,3,4,Agent,Four-Door Car,Medsize
54,California,No,Premium,Bachelor,2011-01-17,Disabled,M,Suburban,Married,Personal Auto,2,1,Branch,Four-Door Car,Small
55,Arizona,No,Extended,College,2011-02-05,Employed,F,Suburban,Divorced,Corporate Auto,3,3,Call Center,Four-Door Car,Small
56,California,No,Basic,College,2011-02-13,Employed,M,Urban,Married,Special Auto,2,2,Branch,Four-Door Car,Medsize
57,Arizona,No,Basic,High School or Below,2011-02-23,Unemployed,F,Suburban,Married,Personal Auto,2,1,Call Center,SUV,Small
58,Oregon,No,Extended,High School or Below,2011-01-28,Disabled,F,Suburban,Divorced,Personal Auto,3,1,Call Center,SUV,Medsize
59,Oregon,No,Premium,Master,2011-02-28,Disabled,F,Suburban,Divorced,Personal Auto,1,1,Agent,Four-Door Car,Medsize
60,Arizona,Yes,Basic,Bachelor,2011-01-02,Retired,M,Suburban,Divorced,Personal Auto,1,1,Agent,Four-Door Car,Medsize
61,California,No,Premium,Bachelor,2011-01-22,Medical Leave,F,Suburban,Married,Personal Auto,3,1,Call Center,Two-Door Car,Small
62,Oregon,No,Extended,Bachelor,2011-01-15,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,Two-Door Car,Small
63,California,No,Basic,High School or Below,2011-01-27,Employed,F,Rural,Married,Personal Auto,3,1,Agent,SUV,Medsize
64,Arizona,No,Basic,Bachelor,2011-01-23,Unemployed,F,Suburban,Single,Personal Auto,3,3,Branch,Four-Door Car,Large
65,Washington,No,Basic,College,2011-01-31,Employed,M,Suburban,Married,Personal Auto,3,3,Web,Four-Door Car,Medsize
66,Oregon,No,Basic,College,2011-01-26,Employed,F,Suburban,Divorced,Corporate Auto,3,1,Agent,SUV,Medsize
67,Arizona,No,Extended,High School or Below,2011-01-10,Employed,F,Urban,Married,Personal Auto,3,4,Branch,Two-Door Car,Small
68,Oregon,Yes,Extended,Bachelor,2011-01-27,Unemployed,F,Suburban,Divorced,Personal Auto,3,1,Call Center,Two-Door Car,Large
69,California,No,Premium,College,2011-01-09,Disabled,F,Suburban,Married,Personal Auto,3,3,Web,Four-Door Car,Medsize
70,Oregon,No,Basic,High School or Below,2011-02-24,Employed,M,Rural,Divorced,Personal Auto,3,4,Agent,SUV,Medsize
71,Oregon,No,Basic,Master,2011-02-11,Employed,M,Rural,Married,Personal Auto,2,2,Web,Two-Door Car,Large
72,Oregon,No,Basic,Master,2011-02-12,Medical Leave,M,Suburban,Married,Personal Auto,1,1,Agent,Four-Door Car,Medsize
73,Oregon,No,Basic,Bachelor,2011-02-04,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,Sports Car,Medsize
74,Oregon,Yes,Basic,Bachelor,2011-01-18,Employed,M,Suburban,Divorced,Personal Auto,3,2,Branch,Two-Door Car,Medsize
75,Oregon,No,Basic,Bachelor,2011-02-11,Employed,M,Suburban,Married,Personal Auto,3,2,Branch,Four-Door Car,Small
76,Oregon,No,Basic,High School or Below,2011-02-01,Employed,F,Rural,Single,Personal Auto,1,2,Call Center,Four-Door Car,Medsize
77,Nevada,No,Basic,College,2011-02-15,Employed,M,Suburban,Married,Personal Auto,1,2,Agent,Four-Door Car,Medsize
78,Washington,No,Extended,College,2011-02-06,Employed,M,Rural,Married,Personal Auto,3,1,Agent,Four-Door Car,Medsize
79,California,No,Basic,Bachelor,2011-02-27,Employed,M,Rural,Single,Personal Auto,3,2,Branch,Luxury Car,Small
80,California,No,Extended,College,2011-01-26,Unemployed,F,Rural,Single,Personal Auto,3,3,Branch,Two-Door Car,Large
81,California,Yes,Basic,High School or Below,2011-02-26,Employed,M,Suburban,Single,Personal Auto,3,2,Call Center,Four-Door Car,Medsize
82,California,No,Basic,Doctor,2011-01-27,Employed,M,Suburban,Married,Personal Auto,1,3,Branch,SUV,Medsize
83,Nevada,No,Basic,Master,2011-01-16,Employed,M,Suburban,Married,Personal Auto,3,2,Call Center,Four-Door Car,Large
84,Oregon,No,Extended,College,2011-01-27,Disabled,F,Suburban,Single,Personal Auto,3,2,Agent,Four-Door Car,Small
85,Washington,No,Basic,High School or Below,2011-02-28,Employed,M,Suburban,Married,Personal Auto,2,1,Call Center,Four-Door Car,Medsize
86,California,Yes,Extended,College,2011-01-25,Retired,M,Suburban,Married,Personal Auto,1,1,Agent,Four-Door Car,Medsize
87,California,No,Basic,Bachelor,2011-01-01,Employed,F,Urban,Married,Corporate Auto,2,3,Web,Four-Door Car,Medsize
88,Oregon,No,Basic,Bachelor,2011-02-01,Employed,F,Suburban,Divorced,Personal Auto,2,3,Branch,Four-Door Car,Medsize
89,California,Yes,Extended,College,2011-02-19,Employed,M,Suburban,Married,Personal Auto,3,1,Branch,Four-Door Car,Medsize
90,Oregon,No,Premium,College,2011-01-27,Medical Leave,M,Suburban,Married,Personal Auto,3,2,Branch,Two-Door Car,Small
91,Washington,Yes,Extended,Bachelor,2011-02-27,Employed,F,Suburban,Married,Corporate Auto,3,2,Call Center,Two-Door Car,Medsize
92,Oregon,No,Basic,Bachelor,2011-01-17,Employed,F,Rural,Married,Corporate Auto,3,1,Agent,Four-Door Car,Medsize
93,Oregon,No,Basic,Bachelor,2011-02-10,Employed,M,Suburban,Married,Corporate Auto,1,1,Branch,Two-Door Car,Small
94,California,No,Extended,High School or Below,2011-01-24,Unemployed,F,Suburban,Single,Personal Auto,2,1,Agent,Four-Door Car,Medsize
95,Oregon,No,Basic,Bachelor,2011-02-24,Employed,F,Suburban,Married,Personal Auto,3,1,Branch,Four-Door Car,Large
96,Arizona,No,Basic,Master,2011-02-15,Medical Leave,F,Rural,Married,Personal Auto,3,1,Branch,SUV,Medsize
97,California,No,Basic,Bachelor,2011-02-16,Medical Leave,M,Suburban,Married,Personal Auto,2,1,Agent,Four-Door Car,Medsize
98,Arizona,No,Basic,Bachelor,2011-01-22,Employed,F,Urban,Married,Personal Auto,1,3,Web,Four-Door Car,Medsize
99,Oregon,No,Extended,College,2011-02-25,Employed,M,Suburban,Married,Personal Auto,2,1,Agent,Two-Door Car,Small
100,California,Yes,Basic,College,2011-01-11,Unemployed,F,Suburban,Married,Personal Auto,3,1,Agent,SUV,Medsize
101,California,Yes,Basic,College,2011-01-31,Unemployed,M,Suburban,Single,Personal Auto,1,1,Branch,Four-Door Car,Medsize
102,Oregon,No,Basic,Bachelor,2011-01-12,Employed,M,Rural,Single,Corporate Auto,3,3,Call Center,Two-Door Car,Medsize
103,California,Yes,Premium,College,2011-02-16,Employed,M,Suburban,Married,Personal Auto,3,2,Branch,Four-Door Car,Medsize
104,California,No,Extended,High School or Below,2011-02-09,Unemployed,F,Suburban,Single,Personal Auto,3,1,Web,SUV,Medsize
105,Oregon,No,Extended,Bachelor,2011-01-19,Employed,F,Rural,Married,Personal Auto,3,1,Call Center,Four-Door Car,Small
106,California,No,Basic,Bachelor,2011-01-04,Employed,F,Rural,Married,Personal Auto,1,3,Branch,Four-Door Car,Medsize
107,Oregon,No,Basic,High School or Below,2011-01-09,Unemployed,M,Suburban,Married,Personal Auto,1,1,Agent,SUV,Medsize
108,California,No,Basic,Bachelor,2011-01-27,Employed,F,Rural,Married,Personal Auto,3,1,Agent,Two-Door Car,Medsize
109,Oregon,No,Basic,College,2011-02-14,Employed,M,Urban,Married,Corporate Auto,1,4,Agent,Four-Door Car,Medsize
110,California,No,Extended,College,2011-02-27,Employed,M,Suburban,Married,Personal Auto,3,4,Agent,Four-Door Car,Small
111,Washington,No,Extended,High School or Below,2011-02-12,Employed,M,Suburban,Divorced,Corporate Auto,2,2,Web,Four-Door Car,Small
112,Arizona,No,Basic,College,2011-02-26,Employed,M,Suburban,Married,Personal Auto,3,2,Branch,SUV,Medsize
113,Oregon,No,Basic,Bachelor,2011-02-20,Employed,M,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Medsize
114,Washington,No,Basic,High School or Below,2011-02-02,Employed,M,Suburban,Married,Personal Auto,2,4,Branch,Four-Door Car,Medsize
115,California,No,Basic,High School or Below,2011-02-15,Unemployed,M,Suburban,Married,Corporate Auto,2,1,Agent,SUV,Medsize
116,Oregon,Yes,Extended,High School or Below,2011-02-18,Retired,M,Suburban,Divorced,Personal Auto,3,2,Agent,SUV,Medsize
117,Arizona,No,Extended,High School or Below,2011-01-21,Employed,M,Suburban,Married,Personal Auto,3,2,Branch,Two-Door Car,Medsize
118,California,No,Basic,Bachelor,2011-01-15,Employed,F,Suburban,Single,Personal Auto,2,3,Agent,Two-Door Car,Medsize
119,California,No,Extended,College,2011-02-05,Employed,F,Urban,Married,Corporate Auto,2,2,Call Center,Four-Door Car,Medsize
120,Washington,No,Extended,College,2011-02-24,Unemployed,M,Suburban,Married,Personal Auto,2,3,Web,Two-Door Car,Medsize
121,California,No,Basic,Bachelor,2011-01-05,Employed,M,Rural,Married,Personal Auto,3,1,Call Center,Sports Car,Medsize
122,Oregon,No,Basic,High School or Below,2011-01-28,Employed,F,Suburban,Married,Personal Auto,3,3,Branch,Two-Door Car,Small
123,California,No,Basic,High School or Below,2011-01-12,Employed,M,Suburban,Single,Personal Auto,3,3,Web,Luxury SUV,Medsize
124,Nevada,No,Basic,Bachelor,2011-02-16,Employed,F,Rural,Married,Personal Auto,3,1,Agent,Four-Door Car,Medsize
125,Oregon,No,Premium,College,2011-01-03,Employed,M,Suburban,Divorced,Personal Auto,2,1,Call Center,Four-Door Car,Medsize
126,Oregon,No,Extended,Master,2011-02-07,Employed,F,Rural,Single,Personal Auto,3,2,Branch,Four-Door Car,Medsize
127,Arizona,No,Extended,College,2011-01-13,Employed,M,Urban,Married,Special Auto,2,1,Branch,Four-Door Car,Medsize
128,Oregon,Yes,Basic,College,2011-01-03,Retired,M,Suburban,Divorced,Personal Auto,2,2,Web,Four-Door Car,Medsize
129,Washington,No,Basic,Master,2011-02-17,Unemployed,F,Rural,Married,Personal Auto,1,2,Agent,Four-Door Car,Medsize
130,Arizona,No,Basic,High School or Below,2011-01-21,Employed,M,Suburban,Married,Personal Auto,3,1,Agent,Sports Car,Medsize
131,Nevada,No,Basic,Bachelor,2011-01-26,Employed,F,Rural,Married,Special Auto,2,1,Branch,Four-Door Car,Medsize
132,Oregon,No,Basic,Bachelor,2011-01-31,Employed,F,Urban,Married,Personal Auto,3,1,Call Center,Four-Door Car,Medsize
133,Arizona,No,Premium,College,2011-01-02,Employed,M,Suburban,Married,Personal Auto,3,1,Agent,Four-Door Car,Small
134,Arizona,No,Basic,High School or Below,2011-02-07,Unemployed,F,Suburban,Single,Corporate Auto,2,1,Web,Four-Door Car,Small
135,Arizona,No,Basic,High School or Below,2011-01-26,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,SUV,Medsize
136,Oregon,No,Basic,High School or Below,2011-01-11,Employed,F,Rural,Married,Special Auto,2,1,Branch,Sports Car,Medsize
137,Washington,No,Basic,College,2011-01-15,Unemployed,F,Suburban,Single,Personal Auto,2,2,Agent,Four-Door Car,Small
138,Oregon,No,Extended,College,2011-02-08,Employed,F,Urban,Married,Personal Auto,3,4,Branch,Four-Door Car,Medsize
139,Arizona,No,Extended,Bachelor,2011-01-11,Employed,F,Urban,Single,Special Auto,3,3,Branch,Four-Door Car,Small
140,Oregon,No,Basic,College,2011-01-09,Unemployed,M,Suburban,Single,Personal Auto,1,4,Web,Two-Door Car,Large
141,Arizona,No,Premium,Master,2011-02-04,Employed,M,Urban,Married,Personal Auto,2,1,Call Center,SUV,Medsize
142,California,No,Extended,High School or Below,2011-01-21,Unemployed,F,Suburban,Single,Personal Auto,2,3,Branch,Sports Car,Medsize
143,Washington,No,Premium,High School or Below,2011-02-16,Employed,M,Suburban,Married,Corporate Auto,3,3,Agent,SUV,Medsize
144,Oregon,Yes,Extended,High School or Below,2011-02-24,Unemployed,F,Suburban,Married,Personal Auto,1,1,Agent,Four-Door Car,Large
145,Nevada,No,Extended,Bachelor,2011-01-18,Employed,M,Urban,Married,Corporate Auto,2,4,Web,Four-Door Car,Medsize
146,California,No,Basic,College,2011-01-30,Unemployed,F,Suburban,Married,Corporate Auto,3,1,Call Center,Four-Door Car,Medsize
147,Arizona,No,Basic,Bachelor,2011-01-09,Employed,F,Suburban,Divorced,Corporate Auto,2,1,Call Center,Two-Door Car,Medsize
148,Arizona,No,Extended,High School or Below,2011-02-01,Employed,F,Rural,Married,Personal Auto,3,2,Web,Four-Door Car,Medsize
149,Oregon,Yes,Premium,College,2011-02-28,Unemployed,M,Suburban,Married,Corporate Auto,2,1,Branch,Four-Door Car,Large
150,Washington,No,Basic,Bachelor,2011-01-31,Employed,M,Suburban,Single,Personal Auto,2,4,Branch,Four-Door Car,Small
151,Washington,Yes,Basic,High School or Below,2011-02-17,Employed,M,Rural,Married,Personal Auto,3,2,Agent,Sports Car,Medsize
152,Arizona,No,Extended,High School or Below,2011-02-12,Disabled,M,Suburban,Married,Personal Auto,3,4,Agent,SUV,Medsize
153,Arizona,No,Extended,Bachelor,2011-02-24,Medical Leave,F,Rural,Married,Personal Auto,1,1,Branch,SUV,Medsize
154,California,No,Basic,Bachelor,2011-02-01,Employed,F,Urban,Single,Personal Auto,3,2,Branch,Four-Door Car,Medsize
155,California,No,Basic,High School or Below,2011-02-06,Employed,M,Suburban,Married,Personal Auto,2,2,Web,Four-Door Car,Small
156,Oregon,No,Extended,College,2011-01-23,Employed,M,Rural,Single,Personal Auto,2,3,Agent,Four-Door Car,Medsize
157,Oregon,No,Extended,Bachelor,2011-01-21,Employed,F,Suburban,Married,Personal Auto,2,2,Agent,Four-Door Car,Small
158,Arizona,Yes,Basic,College,2011-01-20,Retired,M,Suburban,Married,Personal Auto,3,2,Agent,Sports Car,Medsize
159,Arizona,No,Basic,Bachelor,2011-01-06,Employed,F,Rural,Married,Personal Auto,2,1,Web,Two-Door Car,Large
160,California,No,Basic,High School or Below,2011-02-22,Unemployed,M,Suburban,Married,Corporate Auto,3,2,Agent,Two-Door Car,Medsize
161,Washington,No,Basic,College,2011-02-27,Employed,F,Urban,Married,Personal Auto,1,1,Agent,SUV,Medsize
162,California,Yes,Basic,College,2011-02-21,Unemployed,F,Suburban,Divorced,Personal Auto,3,1,Agent,SUV,Medsize
163,Washington,Yes,Basic,Bachelor,2011-01-29,Retired,F,Suburban,Single,Personal Auto,1,1,Branch,Four-Door Car,Medsize
164,California,No,Extended,Bachelor,2011-02-22,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Medsize
165,Oregon,No,Basic,Master,2011-02-21,Medical Leave,M,Suburban,Married,Personal Auto,3,1,Agent,Four-Door Car,Small
166,California,No,Basic,Bachelor,2011-01-10,Unemployed,F,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Small
167,California,Yes,Basic,High School or Below,2011-01-18,Unemployed,F,Suburban,Single,Personal Auto,1,1,Agent,Four-Door Car,Small
168,Oregon,No,Extended,High School or Below,2011-01-16,Employed,F,Urban,Divorced,Personal Auto,2,3,Agent,Four-Door Car,Medsize
169,California,No,Basic,High School or Below,2011-01-06,Unemployed,F,Suburban,Married,Personal Auto,2,1,Agent,Four-Door Car,Medsize
170,California,No,Basic,College,2011-01-27,Medical Leave,M,Suburban,Married,Personal Auto,1,4,Branch,Four-Door Car,Medsize
171,Oregon,No,Premium,Doctor,2011-01-15,Disabled,F,Urban,Divorced,Personal Auto,3,2,Agent,Four-Door Car,Medsize
172,Nevada,No,Basic,College,2011-01-09,Employed,F,Rural,Divorced,Personal Auto,3,3,Agent,Four-Door Car,Medsize
173,Nevada,No,Basic,College,2011-01-28,Unemployed,F,Suburban,Married,Personal Auto,2,3,Agent,Four-Door Car,Small
174,California,Yes,Basic,High School or Below,2011-02-26,Employed,M,Suburban,Single,Personal Auto,2,2,Call Center,Four-Door Car,Medsize
175,California,No,Basic,Bachelor,2011-01-04,Employed,F,Rural,Married,Personal Auto,2,2,Call Center,Sports Car,Medsize
176,Washington,No,Basic,College,2011-02-01,Employed,F,Rural,Married,Personal Auto,2,2,Agent,SUV,Medsize
177,Arizona,No,Basic,Bachelor,2011-01-27,Employed,F,Urban,Married,Personal Auto,3,2,Call Center,Two-Door Car,Medsize
178,Washington,No,Basic,College,2011-02-14,Unemployed,F,Suburban,Single,Personal Auto,3,3,Web,Two-Door Car,Medsize
179,California,No,Basic,Bachelor,2011-01-23,Employed,F,Suburban,Divorced,Personal Auto,2,2,Call Center,Sports Car,Small
180,California,No,Premium,Bachelor,2011-02-18,Unemployed,F,Suburban,Married,Personal Auto,2,1,Agent,Four-Door Car,Medsize
181,Nevada,No,Extended,Bachelor,2011-01-24,Employed,F,Suburban,Married,Personal Auto,3,3,Branch,Luxury Car,Medsize
182,Oregon,No,Basic,High School or Below,2011-02-18,Employed,M,Suburban,Married,Personal Auto,2,2,Branch,Four-Door Car,Large
183,Nevada,No,Extended,Bachelor,2011-01-19,Employed,M,Suburban,Single,Personal Auto,2,4,Agent,Four-Door Car,Small
184,California,No,Basic,Bachelor,2011-01-04,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,SUV,Medsize
185,California,No,Basic,High School or Below,2011-02-07,Employed,F,Suburban,Single,Personal Auto,3,3,Call Center,SUV,Small
186,California,No,Basic,College,2011-01-30,Employed,F,Suburban,Single,Corporate Auto,3,2,Branch,SUV,Medsize
187,Arizona,Yes,Extended,Bachelor,2011-02-17,Employed,F,Suburban,Married,Personal Auto,1,2,Agent,SUV,Medsize
188,California,No,Extended,Bachelor,2011-01-13,Employed,F,Urban,Single,Personal Auto,1,3,Branch,Four-Door Car,Medsize
189,Oregon,No,Extended,College,2011-02-08,Employed,M,Urban,Married,Personal Auto,3,3,Branch,Four-Door Car,Medsize
190,California,No,Basic,Master,2011-01-29,Employed,M,Urban,Married,Special Auto,2,4,Web,SUV,Medsize
191,California,No,Basic,High School or Below,2011-02-05,Unemployed,F,Suburban,Single,Special Auto,3,4,Branch,Two-Door Car,Small
192,California,No,Basic,Bachelor,2011-01-20,Employed,M,Suburban,Married,Personal Auto,3,2,Branch,Two-Door Car,Medsize
193,Oregon,No,Basic,Bachelor,2011-01-27,Employed,F,Suburban,Married,Personal Auto,2,4,Agent,Two-Door Car,Small
194,Arizona,No,Basic,High School or Below,2011-01-09,Unemployed,F,Suburban,Divorced,Personal Auto,2,1,Branch,Four-Door Car,Small
195,Washington,No,Extended,Bachelor,2011-01-11,Employed,F,Suburban,Married,Personal Auto,3,1,Agent,Four-Door Car,Small
196,Oregon,No,Premium,High School or Below,2011-02-17,Employed,M,Suburban,Single,Corporate Auto,3,4,Web,Luxury SUV,Medsize
197,Oregon,No,Basic,Bachelor,2011-02-16,Employed,M,Rural,Single,Special Auto,3,1,Branch,Four-Door Car,Medsize
198,Washington,No,Extended,High School or Below,2011-02-10,Unemployed,F,Suburban,Single,Personal Auto,1,3,Branch,Two-Door Car,Medsize
199,California,Yes,Extended,College,2011-02-19,Employed,M,Suburban,Married,Personal Auto,1,1,Branch,Four-Door Car,Medsize
200,California,No,Premium,Master,2011-01-21,Disabled,F,Suburban,Single,Personal Auto,1,1,Call Center,SUV,Medsize
201,Nevada,Yes,Extended,Bachelor,2011-02-27,Retired,F,Suburban,Single,Personal Auto,3,1,Agent,SUV,Medsize
202,Arizona,No,Basic,High School or Below,2011-02-04,Employed,F,Suburban,Married,Corporate Auto,1,2,Call Center,Four-Door Car,Medsize
203,California,No,Basic,College,2011-01-18,Unemployed,M,Suburban,Single,Personal Auto,2,1,Agent,SUV,Medsize
204,California,No,Basic,High School or Below,2011-02-03,Unemployed,M,Suburban,Single,Personal Auto,2,1,Call Center,Four-Door Car,Medsize
205,California,No,Basic,College,2011-01-02,Unemployed,M,Suburban,Single,Personal Auto,2,1,Agent,SUV,Medsize
206,California,No,Basic,College,2011-01-09,Employed,F,Urban,Married,Personal Auto,1,2,Branch,Four-Door Car,Medsize
207,California,No,Premium,College,2011-01-19,Employed,M,Suburban,Married,Corporate Auto,2,1,Branch,SUV,Small
208,Oregon,No,Basic,High School or Below,2011-01-11,Employed,F,Suburban,Divorced,Corporate Auto,3,2,Agent,SUV,Medsize
209,Washington,No,Extended,Bachelor,2011-01-31,Employed,F,Rural,Married,Personal Auto,3,3,Web,Four-Door Car,Medsize
210,California,No,Extended,High School or Below,2011-01-11,Employed,M,Suburban,Single,Personal Auto,3,2,Agent,Two-Door Car,Small
211,California,Yes,Basic,College,2011-02-11,Retired,M,Suburban,Single,Special Auto,3,1,Agent,Four-Door Car,Medsize
