,state,response,coverage,education,employment_status,gender,location_code,marital_status,policy_type,policy,sales_channel,vehicle_class,vehicle_size
28,Arizona,0,3,2,Employed,0,Suburban,Single,Personal Auto,3,Call Center,Four-Door Car,3
29,Oregon,0,2,3,Employed,0,Suburban,Married,Personal Auto,3,Branch,Four-Door Car,1
30,Arizona,0,1,2,Employed,1,Suburban,Married,Personal Auto,2,Call Center,Four-Door Car,1
31,Nevada,0,2,1,Employed,1,Urban,Married,Corporate Auto,2,Agent,Luxury SUV,2
32,California,0,1,2,Unemployed,1,Urban,Married,Personal Auto,3,Call Center,Four-Door Car,2
33,Washington,0,1,2,Employed,1,Suburban,Married,Corporate Auto,2,Agent,Two-Door Car,1
34,Oregon,0,1,2,Employed,0,Rural,Married,Corporate Auto,1,Web,Four-Door Car,2
35,Arizona,0,1,1,Employed,0,Urban,Married,Personal Auto,1,Branch,Four-Door Car,2
36,California,0,3,2,Employed,1,Suburban,Married,Personal Auto,3,Agent,Four-Door Car,1
37,Oregon,0,2,3,Employed,0,Suburban,Married,Personal Auto,3,Web,Four-Door Car,1
38,Oregon,0,2,2,Unemployed,1,Suburban,Single,Personal Auto,2,Agent,Two-Door Car,1
39,Arizona,0,1,1,Employed,1,Rural,Divorced,Personal Auto,3,Call Center,Four-Door Car,2
40,Nevada,0,1,1,Unemployed,0,Suburban,Married,Corporate Auto,3,Call Center,Two-Door Car,2
41,Oregon,1,1,2,Employed,0,Rural,Single,Corporate Auto,3,Agent,Two-Door Car,2
42,California,1,2,2,Employed,0,Suburban,Married,Personal Auto,2,Agent,Four-Door Car,1
43,Arizona,0,1,1,Employed,1,Suburban,Married,Personal Auto,2,Agent,Sports Car,2
44,Washington,0,1,2,Employed,1,Suburban,Married,Special Auto,2,Call Center,Four-Door Car,3
45,Oregon,0,3,4,Disabled,0,Rural,Married,Personal Auto,2,Branch,SUV,2
46,Arizona,0,1,2,Unemployed,1,Suburban,Single,Personal Auto,3,Call Center,Four-Door Car,2
47,Oregon,0,1,1,Employed,0,Suburban,Single,Personal Auto,2,Agent,Two-Door Car,2
48,California,0,2,2,Unemployed,0,Suburban,Married,Corporate Auto,2,Call Center,Four-Door Car,2
49,Arizona,0,1,1,Unemployed,0,Suburban,Married,Personal Auto,2,Branch,Four-Door Car,2
50,Oregon,0,1,2,Employed,1,Suburban,Married,Personal Auto,2,Agent,SUV,1
51,California,1,1,2,Employed,0,Suburban,Divorced,Corporate Auto,1,Web,SUV,2
52,Nevada,0,1,1,Employed,0,Rural,Married,Special Auto,1,Branch,Four-Door Car,2
53,Washington,0,1,2,Employed,1,Suburban,Single,Personal Auto,3,Agent,Four-Door Car,2
54,California,0,3,2,Disabled,1,Suburban,Married,Personal Auto,2,Branch,Four-Door Car,1
55,Arizona,0,2,2,Employed,0,Suburban,Divorced,Corporate Auto,3,Call Center,Four-Door Car,1
56,California,0,1,2,Employed,1,Urban,Married,Special Auto,2,Branch,Four-Door Car,2
57,Arizona,0,1,1,Unemployed,0,Suburban,Married,Personal Auto,2,Call Center,SUV,1
58,Oregon,0,2,1,Disabled,0,Suburban,Divorced,Personal Auto,3,Call Center,SUV,2
59,Oregon,0,3,3,Disabled,0,Suburban,Divorced,Personal Auto,1,Agent,Four-Door Car,2
60,Arizona,1,1,2,Retired,1,Suburban,Divorced,Personal Auto,1,Agent,Four-Door Car,2
61,California,0,3,2,Medical Leave,0,Suburban,Married,Personal Auto,3,Call Center,Two-Door Car,1
62,Oregon,0,2,2,Unemployed,1,Suburban,Single,Personal Auto,3,Agent,Two-Door Car,1
63,California,0,1,1,Employed,0,Rural,Married,Personal Auto,3,Agent,SUV,2
64,Arizona,0,1,2,Unemployed,0,Suburban,Single,Personal Auto,3,Branch,Four-Door Car,3
65,Washington,0,1,2,Employed,1,Suburban,Married,Personal Auto,3,Web,Four-Door Car,2
66,Oregon,0,1,2,Employed,0,Suburban,Divorced,Corporate Auto,3,Agent,SUV,2
67,Arizona,0,2,1,Employed,0,Urban,Married,Personal Auto,3,Branch,Two-Door Car,1
68,Oregon,1,2,2,Unemployed,0,Suburban,Divorced,Personal Auto,3,Call Center,Two-Door Car,3
69,California,0,3,2,Disabled,0,Suburban,Married,Personal Auto,3,Web,Four-Door Car,2
70,Oregon,0,1,1,Employed,1,Rural,Divorced,Personal Auto,3,Agent,SUV,2
71,Oregon,0,1,3,Employed,1,Rural,Married,Personal Auto,2,Web,Two-Door Car,3
72,Oregon,0,1,3,Medical Leave,1,Suburban,Married,Personal Auto,1,Agent,Four-Door Car,2
73,Oregon,0,1,2,Unemployed,1,Suburban,Single,Personal Auto,3,Agent,Sports Car,2
74,Oregon,1,1,2,Employed,1,Suburban,Divorced,Personal Auto,3,Branch,Two-Door Car,2
75,Oregon,0,1,2,Employed,1,Suburban,Married,Personal Auto,3,Branch,Four-Door Car,1
76,Oregon,0,1,1,Employed,0,Rural,Single,Personal Auto,1,Call Center,Four-Door Car,2
77,Nevada,0,1,2,Employed,1,Suburban,Married,Personal Auto,1,Agent,Four-Door Car,2
78,Washington,0,2,2,Employed,1,Rural,Married,Personal Auto,3,Agent,Four-Door Car,2
79,California,0,1,2,Employed,1,Rural,Single,Personal Auto,3,Branch,Luxury Car,1
80,California,0,2,2,Unemployed,0,Rural,Single,Personal Auto,3,Branch,Two-Door Car,3
81,California,1,1,1,Employed,1,Suburban,Single,Personal Auto,3,Call Center,Four-Door Car,2
82,California,0,1,4,Employed,1,Suburban,Married,Personal Auto,1,Branch,SUV,2
83,Nevada,0,1,3,Employed,1,Suburban,Married,Personal Auto,3,Call Center,Four-Door Car,3
84,Oregon,0,2,2,Disabled,0,Suburban,Single,Personal Auto,3,Agent,Four-Door Car,1
85,Washington,0,1,1,Employed,1,Suburban,Married,Personal Auto,2,Call Center,Four-Door Car,2
86,California,1,2,2,Retired,1,Suburban,Married,Personal Auto,1,Agent,Four-Door Car,2
87,California,0,1,2,Employed,0,Urban,Married,Corporate Auto,2,Web,Four-Door Car,2
88,Oregon,0,1,2,Employed,0,Suburban,Divorced,Personal Auto,2,Branch,Four-Door Car,2
89,California,1,2,2,Employed,1,Suburban,Married,Personal Auto,3,Branch,Four-Door Car,2
90,Oregon,0,3,2,Medical Leave,1,Suburban,Married,Personal Auto,3,Branch,Two-Door Car,1
91,Washington,1,2,2,Employed,0,Suburban,Married,Corporate Auto,3,Call Center,Two-Door Car,2
92,Oregon,0,1,2,Employed,0,Rural,Married,Corporate Auto,3,Agent,Four-Door Car,2
93,Oregon,0,1,2,Employed,1,Suburban,Married,Corporate Auto,1,Branch,Two-Door Car,1
94,California,0,2,1,Unemployed,0,Suburban,Single,Personal Auto,2,Agent,Four-Door Car,2
95,Oregon,0,1,2,Employed,0,Suburban,Married,Personal Auto,3,Branch,Four-Door Car,3
96,Arizona,0,1,3,Medical Leave,0,Rural,Married,Personal Auto,3,Branch,SUV,2
97,California,0,1,2,Medical Leave,1,Suburban,Married,Personal Auto,2,Agent,Four-Door Car,2
98,Arizona,0,1,2,Employed,0,Urban,Married,Personal Auto,1,Web,Four-Door Car,2
99,Oregon,0,2,2,Employed,1,Suburban,Married,Personal Auto,2,Agent,Two-Door Car,1
100,California,1,1,2,Unemployed,0,Suburban,Married,Personal Auto,3,Agent,SUV,2
101,California,1,1,2,Unemployed,1,Suburban,Single,Personal Auto,1,Branch,Four-Door Car,2
102,Oregon,0,1,2,Employed,1,Rural,Single,Corporate Auto,3,Call Center,Two-Door Car,2
103,California,1,3,2,Employed,1,Suburban,Married,Personal Auto,3,Branch,Four-Door Car,2
104,California,0,2,1,Unemployed,0,Suburban,Single,Personal Auto,3,Web,SUV,2
105,Oregon,0,2,2,Employed,0,Rural,Married,Personal Auto,3,Call Center,Four-Door Car,1
106,California,0,1,2,Employed,0,Rural,Married,Personal Auto,1,Branch,Four-Door Car,2
107,Oregon,0,1,1,Unemployed,1,Suburban,Married,Personal Auto,1,Agent,SUV,2
108,California,0,1,2,Employed,0,Rural,Married,Personal Auto,3,Agent,Two-Door Car,2
109,Oregon,0,1,2,Employed,1,Urban,Married,Corporate Auto,1,Agent,Four-Door Car,2
110,California,0,2,2,Employed,1,Suburban,Married,Personal Auto,3,Agent,Four-Door Car,1
111,Washington,0,2,1,Employed,1,Suburban,Divorced,Corporate Auto,2,Web,Four-Door Car,1
112,Arizona,0,1,2,Employed,1,Suburban,Married,Personal Auto,3,Branch,SUV,2
113,Oregon,0,1,2,Employed,1,Suburban,Single,Personal Auto,3,Agent,Four-Door Car,2
114,Washington,0,1,1,Employed,1,Suburban,Married,Personal Auto,2,Branch,Four-Door Car,2
115,California,0,1,1,Unemployed,1,Suburban,Married,Corporate Auto,2,Agent,SUV,2
116,Oregon,1,2,1,Retired,1,Suburban,Divorced,Personal Auto,3,Agent,SUV,2
117,Arizona,0,2,1,Employed,1,Suburban,Married,Personal Auto,3,Branch,Two-Door Car,2
118,California,0,1,2,Employed,0,Suburban,Single,Personal Auto,2,Agent,Two-Door Car,2
119,California,0,2,2,Employed,0,Urban,Married,Corporate Auto,2,Call Center,Four-Door Car,2
120,Washington,0,2,2,Unemployed,1,Suburban,Married,Personal Auto,2,Web,Two-Door Car,2
121,California,0,1,2,Employed,1,Rural,Married,Personal Auto,3,Call Center,Sports Car,2
122,Oregon,0,1,1,Employed,0,Suburban,Married,Personal Auto,3,Branch,Two-Door Car,1
123,California,0,1,1,Employed,1,Suburban,Single,Personal Auto,3,Web,Luxury SUV,2
124,Nevada,0,1,2,Employed,0,Rural,Married,Personal Auto,3,Agent,Four-Door Car,2
125,Oregon,0,3,2,Employed,1,Suburban,Divorced,Personal Auto,2,Call Center,Four-Door Car,2
126,Oregon,0,2,3,Employed,0,Rural,Single,Personal Auto,3,Branch,Four-Door Car,2
127,Arizona,0,2,2,Employed,1,Urban,Married,Special Auto,2,Branch,Four-Door Car,2
128,Oregon,1,1,2,Retired,1,Suburban,Divorced,Personal Auto,2,Web,Four-Door Car,2
129,Washington,0,1,3,Unemployed,0,Rural,Married,Personal Auto,1,Agent,Four-Door Car,2
130,Arizona,0,1,1,Employed,1,Suburban,Married,Personal Auto,3,Agent,Sports Car,2
131,Nevada,0,1,2,Employed,0,Rural,Married,Special Auto,2,Branch,Four-Door Car,2
132,Oregon,0,1,2,Employed,0,Urban,Married,Personal Auto,3,Call Center,Four-Door Car,2
133,Arizona,0,3,2,Employed,1,Suburban,Married,Personal Auto,3,Agent,Four-Door Car,1
134,Arizona,0,1,1,Unemployed,0,Suburban,Single,Corporate Auto,2,Web,Four-Door Car,1
135,Arizona,0,1,1,Unemployed,1,Suburban,Single,Personal Auto,3,Agent,SUV,2
136,Oregon,0,1,1,Employed,0,Rural,Married,Special Auto,2,Branch,Sports Car,2
137,Washington,0,1,2,Unemployed,0,Suburban,Single,Personal Auto,2,Agent,Four-Door Car,1
138,Oregon,0,2,2,Employed,0,Urban,Married,Personal Auto,3,Branch,Four-Door Car,2
139,Arizona,0,2,2,Employed,0,Urban,Single,Special Auto,3,Branch,Four-Door Car,1
140,Oregon,0,1,2,Unemployed,1,Suburban,Single,Personal Auto,1,Web,Two-Door Car,3
141,Arizona,0,3,3,Employed,1,Urban,Married,Personal Auto,2,Call Center,SUV,2
142,California,0,2,1,Unemployed,0,Suburban,Single,Personal Auto,2,Branch,Sports Car,2
143,Washington,0,3,1,Employed,1,Suburban,Married,Corporate Auto,3,Agent,SUV,2
144,Oregon,1,2,1,Unemployed,0,Suburban,Married,Personal Auto,1,Agent,Four-Door Car,3
145,Nevada,0,2,2,Employed,1,Urban,Married,Corporate Auto,2,Web,Four-Door Car,2
146,California,0,1,2,Unemployed,0,Suburban,Married,Corporate Auto,3,Call Center,Four-Door Car,2
147,Arizona,0,1,2,Employed,0,Suburban,Divorced,Corporate Auto,2,Call Center,Two-Door Car,2
148,Arizona,0,2,1,Employed,0,Rural,Married,Personal Auto,3,Web,Four-Door Car,2
149,Oregon,1,3,2,Unemployed,1,Suburban,Married,Corporate Auto,2,Branch,Four-Door Car,3
150,Washington,0,1,2,Employed,1,Suburban,Single,Personal Auto,2,Branch,Four-Door Car,1
151,Washington,1,1,1,Employed,1,Rural,Married,Personal Auto,3,Agent,Sports Car,2
152,Arizona,0,2,1,Disabled,1,Suburban,Married,Personal Auto,3,Agent,SUV,2
153,Arizona,0,2,2,Medical Leave,0,Rural,Married,Personal Auto,1,Branch,SUV,2
154,California,0,1,2,Employed,0,Urban,Single,Personal Auto,3,Branch,Four-Door Car,2
155,California,0,1,1,Employed,1,Suburban,Married,Personal Auto,2,Web,Four-Door Car,1
156,Oregon,0,2,2,Employed,1,Rural,Single,Personal Auto,2,Agent,Four-Door Car,2
157,Oregon,0,2,2,Employed,0,Suburban,Married,Personal Auto,2,Agent,Four-Door Car,1
158,Arizona,1,1,2,Retired,1,Suburban,Married,Personal Auto,3,Agent,Sports Car,2
159,Arizona,0,1,2,Employed,0,Rural,Married,Personal Auto,2,Web,Two-Door Car,3
160,California,0,1,1,Unemployed,1,Suburban,Married,Corporate Auto,3,Agent,Two-Door Car,2
161,Washington,0,1,2,Employed,0,Urban,Married,Personal Auto,1,Agent,SUV,2
162,California,1,1,2,Unemployed,0,Suburban,Divorced,Personal Auto,3,Agent,SUV,2
163,Washington,1,1,2,Retired,0,Suburban,Single,Personal Auto,1,Branch,Four-Door Car,2
164,California,0,2,2,Unemployed,1,Suburban,Single,Personal Auto,3,Agent,Four-Door Car,2
165,Oregon,0,1,3,Medical Leave,1,Suburban,Married,Personal Auto,3,Agent,Four-Door Car,1
166,California,0,1,2,Unemployed,0,Suburban,Single,Personal Auto,3,Agent,Four-Door Car,1
167,California,1,1,1,Unemployed,0,Suburban,Single,Personal Auto,1,Agent,Four-Door Car,1
168,Oregon,0,2,1,Employed,0,Urban,Divorced,Personal Auto,2,Agent,Four-Door Car,2
169,California,0,1,1,Unemployed,0,Suburban,Married,Personal Auto,2,Agent,Four-Door Car,2
170,California,0,1,2,Medical Leave,1,Suburban,Married,Personal Auto,1,Branch,Four-Door Car,2
171,Oregon,0,3,4,Disabled,0,Urban,Divorced,Personal Auto,3,Agent,Four-Door Car,2
172,Nevada,0,1,2,Employed,0,Rural,Divorced,Personal Auto,3,Agent,Four-Door Car,2
173,Nevada,0,1,2,Unemployed,0,Suburban,Married,Personal Auto,2,Agent,Four-Door Car,1
174,California,1,1,1,Employed,1,Suburban,Single,Personal Auto,2,Call Center,Four-Door Car,2
175,California,0,1,2,Employed,0,Rural,Married,Personal Auto,2,Call Center,Sports Car,2
176,Washington,0,1,2,Employed,0,Rural,Married,Personal Auto,2,Agent,SUV,2
177,Arizona,0,1,2,Employed,0,Urban,Married,Personal Auto,3,Call Center,Two-Door Car,2
178,Washington,0,1,2,Unemployed,0,Suburban,Single,Personal Auto,3,Web,Two-Door Car,2
179,California,0,1,2,Employed,0,Suburban,Divorced,Personal Auto,2,Call Center,Sports Car,1
180,California,0,3,2,Unemployed,0,Suburban,Married,Personal Auto,2,Agent,Four-Door Car,2
181,Nevada,0,2,2,Employed,0,Suburban,Married,Personal Auto,3,Branch,Luxury Car,2
182,Oregon,0,1,1,Employed,1,Suburban,Married,Personal Auto,2,Branch,Four-Door Car,3
183,Nevada,0,2,2,Employed,1,Suburban,Single,Personal Auto,2,Agent,Four-Door Car,1
184,California,0,1,2,Unemployed,1,Suburban,Single,Personal Auto,3,Agent,SUV,2
185,California,0,1,1,Employed,0,Suburban,Single,Personal Auto,3,Call Center,SUV,1
186,California,0,1,2,Employed,0,Suburban,Single,Corporate Auto,3,Branch,SUV,2
187,Arizona,1,2,2,Employed,0,Suburban,Married,Personal Auto,1,Agent,SUV,2
188,California,0,2,2,Employed,0,Urban,Single,Personal Auto,1,Branch,Four-Door Car,2
189,Oregon,0,2,2,Employed,1,Urban,Married,Personal Auto,3,Branch,Four-Door Car,2
190,California,0,1,3,Employed,1,Urban,Married,Special Auto,2,Web,SUV,2
191,California,0,1,1,Unemployed,0,Suburban,Single,Special Auto,3,Branch,Two-Door Car,1
192,California,0,1,2,Employed,1,Suburban,Married,Personal Auto,3,Branch,Two-Door Car,2
193,Oregon,0,1,2,Employed,0,Suburban,Married,Personal Auto,2,Agent,Two-Door Car,1
194,Arizona,0,1,1,Unemployed,0,Suburban,Divorced,Personal Auto,2,Branch,Four-Door Car,1
195,Washington,0,2,2,Employed,0,Suburban,Married,Personal Auto,3,Agent,Four-Door Car,1
196,Oregon,0,3,1,Employed,1,Suburban,Single,Corporate Auto,3,Web,Luxury SUV,2
197,Oregon,0,1,2,Employed,1,Rural,Single,Special Auto,3,Branch,Four-Door Car,2
198,Washington,0,2,1,Unemployed,0,Suburban,Single,Personal Auto,1,Branch,Two-Door Car,2
199,California,1,2,2,Employed,1,Suburban,Married,Personal Auto,1,Branch,Four-Door Car,2
200,California,0,3,3,Disabled,0,Suburban,Single,Personal Auto,1,Call Center,SUV,2
201,Nevada,1,2,2,Retired,0,Suburban,Single,Personal Auto,3,Agent,SUV,2
202,Arizona,0,1,1,Employed,0,Suburban,Married,Corporate Auto,1,Call Center,Four-Door Car,2
203,California,0,1,2,Unemployed,1,Suburban,Single,Personal Auto,2,Agent,SUV,2
204,California,0,1,1,Unemployed,1,Suburban,Single,Personal Auto,2,Call Center,Four-Door Car,2
205,California,0,1,2,Unemployed,1,Suburban,Single,Personal Auto,2,Agent,SUV,2
206,California,0,1,2,Employed,0,Urban,Married,Personal Auto,1,Branch,Four-Door Car,2
207,California,0,3,2,Employed,1,Suburban,Married,Corporate Auto,2,Branch,SUV,1
208,Oregon,0,1,1,Employed,0,Suburban,Divorced,Corporate Auto,3,Agent,SUV,2
209,Washington,0,2,2,Employed,0,Rural,Married,Personal Auto,3,Web,Four-Door Car,2
210,California,0,2,1,Employed,1,Suburban,Single,Personal Auto,3,Agent,Two-Door Car,1
211,California,1,1,2,Retired,1,Suburban,Single,Special Auto,3,Agent,Four-Door Car,2
212,Washington,0,2,2,Employed,1,Urban,Married,Corporate Auto,3,Web,Two-Door Car,1
213,California,0,1,1,Employed,0,Urban,Single,Special Auto,3,Agent,Four-Door Car,2
214,Arizona,0,1,2,Employed,1,Suburban,Divorced,Personal Auto,1,Agent,Four-Door Car,1
215,Oregon,0,2,2,Employed,0,Suburban,Married,Corporate Auto,1,Call Center,Four-Door Car,3
216,Oregon,0,3,2,Employed,1,Urban,Married,Corporate Auto,3,Agent,Sports Car,1
217,Oregon,1,2,1,Disabled,0,Suburban,Married,Special Auto,3,Agent,Two-Door Car,1
218,Washington,1,1,1,Unemployed,0,Suburban,Divorced,Personal Auto,3,Web,Sports Car,2
219,California,0,1,2,Employed,1,Suburban,Married,Personal Auto,1,Branch,Four-Door Car,2
220,Oregon,0,1,2,Employed,0,Suburban,Married,Personal Auto,2,Branch,Four-Door Car,2
221,California,0,1,2,Employed,1,Suburban,Divorced,Personal Auto,2,Call Center,Four-Door Car,2
222,Nevada,0,1,1,Employed,1,Suburban,Divorced,Personal Auto,1,Call Center,Four-Door Car,1
223,Washington,1,2,1,Employed,1,Suburban,Single,Personal Auto,3,Branch,Two-Door Car,1
224,Oregon,0,1,2,Disabled,0,Suburban,Married,Personal Auto,3,Call Center,SUV,1
225,Oregon,0,2,2,Employed,0,Suburban,Married,Personal Auto,3,Branch,Four-Door Car,2
226,Nevada,0,1,2,Unemployed,1,Suburban,Single,Personal Auto,1,Branch,Two-Door Car,2
227,Nevada,1,1,1,Employed,0,Rural,Single,Corporate Auto,3,Agent,Four-Door Car,2
228,Arizona,0,1,1,Employed,1,Urban,Married,Corporate Auto,3,Agent,SUV,1
229,California,0,1,2,Disabled,1,Suburban,Married,Corporate Auto,1,Agent,Four-Door Car,1
230,Arizona,1,1,2,Unemployed,0,Suburban,Married,Corporate Auto,1,Call Center,Four-Door Car,2
231,Arizona,1,1,2,Employed,1,Urban,Single,Personal Auto,3,Agent,Two-Door Car,2
232,Arizona,0,2,1,Employed,1,Urban,Married,Personal Auto,2,Agent,Four-Door Car,2
233,Oregon,0,3,2,Unemployed,0,Suburban,Married,Personal Auto,3,Web,SUV,1
234,Arizona,0,1,1,Unemployed,1,Suburban,Married,Personal Auto,3,Call Center,Two-Door Car,2
235,California,0,1,2,Employed,1,Suburban,Married,Personal Auto,3,Branch,Two-Door Car,1
236,California,0,1,2,Employed,0,Rural,Married,Personal Auto,2,Web,Four-Door Car,3
237,Washington,0,2,2,Employed,1,Urban,Divorced,Corporate Auto,1,Branch,SUV,3
238,Washington,0,1,2,Unemployed,1,Suburban,Single,Personal Auto,3,Agent,Four-Door Car,1
239,Washington,0,1,2,Employed,0,Suburban,Single,Personal Auto,3,Agent,Four-Door Car,1
240,Nevada,0,1,1,Employed,0,Suburban,Married,Corporate Auto,3,Agent,Two-Door Car,1
241,Arizona,0,1,2,Employed,0,Rural,Married,Personal Auto,1,Agent,Four-Door Car,3
242,Oregon,0,1,2,Unemployed,0,Suburban,Divorced,Corporate Auto,3,Branch,Four-Door Car,1
243,California,0,2,2,Employed,1,Suburban,Married,Personal Auto,2,Web,Two-Door Car,3
244,California,0,2,2,Unemployed,0,Suburban,Single,Personal Auto,1,Agent,Two-Door Car,2
245,California,0,2,2,Disabled,1,Suburban,Divorced,Corporate Auto,2,Agent,Two-Door Car,2
246,Arizona,0,1,2,Employed,0,Suburban,Divorced,Personal Auto,1,Agent,Four-Door Car,2
247,Arizona,0,2,1,Unemployed,0,Suburban,Married,Personal Auto,2,Call Center,Four-Door Car,1
248,Oregon,0,2,2,Unemployed,1,Suburban,Single,Corporate Auto,3,Branch,Luxury SUV,2
249,California,0,1,3,Employed,1,Suburban,Married,Personal Auto,2,Call Center,Four-Door Car,2
250,Arizona,0,3,1,Retired,0,Suburban,Divorced,Personal Auto,3,Web,Two-Door Car,2
251,Nevada,0,1,2,Employed,0,Suburban,Divorced,Personal Auto,3,Call Center,Two-Door Car,2
252,Arizona,0,1,4,Employed,1,Suburban,Single,Personal Auto,3,Call Center,SUV,2
253,Washington,1,1,2,Retired,0,Suburban,Divorced,Personal Auto,3,Agent,SUV,1
254,Oregon,0,2,2,Employed,1,Urban,Married,Personal Auto,3,Call Center,Four-Door Car,3
255,Nevada,1,2,1,Retired,1,Suburban,Divorced,Personal Auto,3,Agent,SUV,2
256,Oregon,0,2,2,Employed,0,Urban,Married,Personal Auto,3,Agent,SUV,2
257,California,0,1,3,Employed,0,Urban,Married,Personal Auto,3,Call Center,Two-Door Car,1
258,Washington,0,2,2,Employed,1,Suburban,Married,Personal Auto,3,Branch,Four-Door Car,2
259,Oregon,0,1,2,Employed,0,Rural,Divorced,Corporate Auto,3,Agent,Four-Door Car,2
260,California,0,1,2,Unemployed,1,Suburban,Married,Personal Auto,1,Agent,Four-Door Car,1
261,California,0,1,2,Employed,0,Rural,Married,Personal Auto,1,Web,Four-Door Car,2
262,Arizona,0,1,2,Medical Leave,0,Suburban,Divorced,Personal Auto,2,Web,Four-Door Car,2
263,Arizona,0,1,1,Employed,1,Suburban,Married,Personal Auto,2,Agent,Four-Door Car,2
264,California,0,2,2,Employed,1,Suburban,Married,Personal Auto,1,Agent,Four-Door Car,1
265,Oregon,0,1,2,Medical Leave,1,Rural,Married,Corporate Auto,1,Web,Four-Door Car,2
266,Arizona,0,2,3,Employed,0,Rural,Single,Corporate Auto,3,Call Center,Four-Door Car,2
267,Arizona,0,1,2,Employed,0,Suburban,Married,Personal Auto,2,Agent,Two-Door Car,1
268,California,0,2,2,Employed,1,Rural,Married,Corporate Auto,1,Agent,Four-Door Car,2
269,Arizona,0,1,1,Unemployed,0,Suburban,Single,Corporate Auto,3,Call Center,Sports Car,2
270,Nevada,0,1,3,Medical Leave,0,Rural,Married,Personal Auto,3,Call Center,Two-Door Car,2
271,Washington,0,1,1,Unemployed,1,Suburban,Single,Personal Auto,1,Branch,SUV,2
272,Oregon,0,3,1,Employed,1,Suburban,Married,Personal Auto,3,Call Center,Four-Door Car,2
273,Arizona,0,2,1,Unemployed,0,Suburban,Married,Personal Auto,3,Agent,Sports Car,1
274,Washington,0,2,2,Employed,0,Suburban,Married,Personal Auto,2,Agent,SUV,2
275,Oregon,0,1,3,Disabled,1,Rural,Married,Special Auto,3,Web,Two-Door Car,2
276,Arizona,0,3,2,Employed,1,Suburban,Divorced,Corporate Auto,2,Branch,Four-Door Car,2
277,Arizona,0,3,1,Employed,0,Rural,Married,Personal Auto,3,Agent,Four-Door Car,2
278,California,0,2,2,Unemployed,1,Suburban,Single,Personal Auto,3,Branch,Two-Door Car,2
279,Oregon,0,2,1,Employed,0,Suburban,Married,Personal Auto,3,Branch,Two-Door Car,2
280,Nevada,0,2,2,Unemployed,1,Urban,Single,Personal Auto,2,Web,Four-Door Car,2
281,California,0,1,2,Unemployed,1,Suburban,Married,Personal Auto,2,Web,Two-Door Car,2
282,Nevada,0,1,1,Employed,1,Suburban,Married,Personal Auto,3,Agent,Four-Door Car,1
