,coverage,education,employment_status,gender,location_code,marital_status,vehicle_class,vehicle_size
186,1,2,Employed,0,Suburban,Single,SUV,2
187,2,2,Employed,0,Suburban,Married,SUV,2
188,2,2,Employed,0,Urban,Single,Four-Door Car,2
189,2,2,Employed,1,Urban,Married,Four-Door Car,2
190,1,3,Employed,1,Urban,Married,SUV,2
191,1,1,Unemployed,0,Suburban,Single,Two-Door Car,1
192,1,2,Employed,1,Suburban,Married,Two-Door Car,2
193,1,2,Employed,0,Suburban,Married,Two-Door Car,1
194,1,1,Unemployed,0,Suburban,Divorced,Four-Door Car,1
195,2,2,Employed,0,Suburban,Married,Four-Door Car,1
196,3,1,Employed,1,Suburban,Single,Luxury SUV,2
197,1,2,Employed,1,Rural,Single,Four-Door Car,2
198,2,1,Unemployed,0,Suburban,Single,Two-Door Car,2
199,2,2,Employed,1,Suburban,Married,Four-Door Car,2
200,3,3,Disabled,0,Suburban,Single,SUV,2
201,2,2,Retired,0,Suburban,Single,SUV,2
202,1,1,Employed,0,Suburban,Married,Four-Door Car,2
203,1,2,Unemployed,1,Suburban,Single,SUV,2
204,1,1,Unemployed,1,Suburban,Single,Four-Door Car,2
205,1,2,Unemployed,1,Suburban,Single,SUV,2
206,1,2,Employed,0,Urban,Married,Four-Door Car,2
207,3,2,Employed,1,Suburban,Married,SUV,1
208,1,1,Employed,0,Suburban,Divorced,SUV,2
209,2,2,Employed,0,Rural,Married,Four-Door Car,2
210,2,1,Employed,1,Suburban,Single,Two-Door Car,1
211,1,2,Retired,1,Suburban,Single,Four-Door Car,2
212,2,2,Employed,1,Urban,Married,Two-Door Car,1
213,1,1,Employed,0,Urban,Single,Four-Door Car,2
214,1,2,Employed,1,Suburban,Divorced,Four-Door Car,1
215,2,2,Employed,0,Suburban,Married,Four-Door Car,3
216,3,2,Employed,1,Urban,Married,Sports Car,1
217,2,1,Disabled,0,Suburban,Married,Two-Door Car,1
218,1,1,Unemployed,0,Suburban,Divorced,Sports Car,2
219,1,2,Employed,1,Suburban,Married,Four-Door Car,2
220,1,2,Employed,0,Suburban,Married,Four-Door Car,2
221,1,2,Employed,1,Suburban,Divorced,Four-Door Car,2
222,1,1,Employed,1,Suburban,Divorced,Four-Door Car,1
223,2,1,Employed,1,Suburban,Single,Two-Door Car,1
224,1,2,Disabled,0,Suburban,Married,SUV,1
225,2,2,Employed,0,Suburban,Married,Four-Door Car,2
226,1,2,Unemployed,1,Suburban,Single,Two-Door Car,2
227,1,1,Employed,0,Rural,Single,Four-Door Car,2
228,1,1,Employed,1,Urban,Married,SUV,1
229,1,2,Disabled,1,Suburban,Married,Four-Door Car,1
230,1,2,Unemployed,0,Suburban,Married,Four-Door Car,2
231,1,2,Employed,1,Urban,Single,Two-Door Car,2
232,2,1,Employed,1,Urban,Married,Four-Door Car,2
233,3,2,Unemployed,0,Suburban,Married,SUV,1
234,1,1,Unemployed,1,Suburban,Married,Two-Door Car,2
235,1,2,Employed,1,Suburban,Married,Two-Door Car,1
236,1,2,Employed,0,Rural,Married,Four-Door Car,3
237,2,2,Employed,1,Urban,Divorced,SUV,3
238,1,2,Unemployed,1,Suburban,Single,Four-Door Car,1
239,1,2,Employed,0,Suburban,Single,Four-Door Car,1
240,1,1,Employed,0,Suburban,Married,Two-Door Car,1
241,1,2,Employed,0,Rural,Married,Four-Door Car,3
242,1,2,Unemployed,0,Suburban,Divorced,Four-Door Car,1
243,2,2,Employed,1,Suburban,Married,Two-Door Car,3
244,2,2,Unemployed,0,Suburban,Single,Two-Door Car,2
245,2,2,Disabled,1,Suburban,Divorced,Two-Door Car,2
246,1,2,Employed,0,Suburban,Divorced,Four-Door Car,2
247,2,1,Unemployed,0,Suburban,Married,Four-Door Car,1
248,2,2,Unemployed,1,Suburban,Single,Luxury SUV,2
249,1,3,Employed,1,Suburban,Married,Four-Door Car,2
250,3,1,Retired,0,Suburban,Divorced,Two-Door Car,2
251,1,2,Employed,0,Suburban,Divorced,Two-Door Car,2
252,1,4,Employed,1,Suburban,Single,SUV,2
253,1,2,Retired,0,Suburban,Divorced,SUV,1
254,2,2,Employed,1,Urban,Married,Four-Door Car,3
255,2,1,Retired,1,Suburban,Divorced,SUV,2
256,2,2,Employed,0,Urban,Married,SUV,2
257,1,3,Employed,0,Urban,Married,Two-Door Car,1
258,2,2,Employed,1,Suburban,Married,Four-Door Car,2
259,1,2,Employed,0,Rural,Divorced,Four-Door Car,2
260,1,2,Unemployed,1,Suburban,Married,Four-Door Car,1
261,1,2,Employed,0,Rural,Married,Four-Door Car,2
262,1,2,Medical Leave,0,Suburban,Divorced,Four-Door Car,2
263,1,1,Employed,1,Suburban,Married,Four-Door Car,2
264,2,2,Employed,1,Suburban,Married,Four-Door Car,1
265,1,2,Medical Leave,1,Rural,Married,Four-Door Car,2
266,2,3,Employed,0,Rural,Single,Four-Door Car,2
267,1,2,Employed,0,Suburban,Married,Two-Door Car,1
268,2,2,Employed,1,Rural,Married,Four-Door Car,2
269,1,1,Unemployed,0,Suburban,Single,Sports Car,2
270,1,3,Medical Leave,0,Rural,Married,Two-Door Car,2
271,1,1,Unemployed,1,Suburban,Single,SUV,2
272,3,1,Employed,1,Suburban,Married,Four-Door Car,2
273,2,1,Unemployed,0,Suburban,Married,Sports Car,1
274,2,2,Employed,0,Suburban,Married,SUV,2
275,1,3,Disabled,1,Rural,Married,Two-Door Car,2
276,3,2,Employed,1,Suburban,Divorced,Four-Door Car,2
277,3,1,Employed,0,Rural,Married,Four-Door Car,2
278,2,2,Unemployed,1,Suburban,Single,Two-Door Car,2
279,2,1,Employed,0,Suburban,Married,Two-Door Car,2
280,2,2,Unemployed,1,Urban,Single,Four-Door Car,2
281,1,2,Unemployed,1,Suburban,Married,Two-Door Car,2
282,1,1,Employed,1,Suburban,Married,Four-Door Car,1
283,1,2,Employed,1,Suburban,Married,Two-Door Car,2
284,3,2,Employed,1,Rural,Single,Two-Door Car,2
285,2,1,Employed,0,Suburban,Married,Four-Door Car,2
286,1,2,Employed,0,Suburban,Married,Four-Door Car,2
287,1,2,Unemployed,1,Suburban,Single,Four-Door Car,2
288,1,1,Unemployed,1,Suburban,Married,Sports Car,2
289,1,2,Employed,1,Urban,Married,Four-Door Car,3
290,3,2,Employed,0,Suburban,Married,Four-Door Car,2
291,2,1,Employed,1,Urban,Married,Four-Door Car,3
292,2,3,Employed,1,Rural,Married,Luxury Car,2
293,1,2,Unemployed,0,Suburban,Single,Four-Door Car,1
294,3,1,Disabled,0,Rural,Married,Two-Door Car,3
295,1,4,Employed,1,Rural,Single,Four-Door Car,2
296,1,2,Employed,1,Suburban,Married,SUV,2
297,1,2,Unemployed,0,Rural,Married,Four-Door Car,2
298,1,2,Employed,1,Suburban,Married,Four-Door Car,1
299,3,1,Unemployed,1,Suburban,Divorced,Four-Door Car,2
300,1,2,Employed,1,Suburban,Married,Four-Door Car,2
301,1,2,Employed,1,Rural,Married,Four-Door Car,2
302,1,1,Retired,1,Suburban,Married,Sports Car,2
303,1,2,Employed,0,Rural,Married,SUV,1
304,2,2,Unemployed,0,Suburban,Single,Four-Door Car,2
305,1,2,Unemployed,0,Suburban,Divorced,SUV,2
306,1,2,Unemployed,1,Suburban,Married,SUV,2
307,2,2,Employed,1,Urban,Single,SUV,2
308,3,2,Employed,0,Rural,Divorced,Four-Door Car,2
309,1,2,Employed,0,Suburban,Married,Four-Door Car,1
310,1,2,Employed,1,Rural,Married,Four-Door Car,1
311,1,1,Employed,0,Urban,Married,SUV,2
312,1,1,Employed,1,Rural,Married,Four-Door Car,2
313,1,4,Employed,0,Urban,Married,SUV,1
314,3,3,Employed,0,Suburban,Divorced,Four-Door Car,2
315,3,2,Unemployed,1,Suburban,Single,SUV,2
316,2,2,Employed,0,Rural,Married,SUV,2
317,2,2,Employed,0,Suburban,Married,Two-Door Car,1
318,2,2,Employed,0,Suburban,Single,SUV,2
319,1,3,Employed,0,Rural,Married,Four-Door Car,3
320,1,2,Employed,0,Rural,Married,SUV,1
321,1,4,Employed,0,Urban,Married,Four-Door Car,2
322,1,2,Unemployed,1,Suburban,Single,Four-Door Car,2
323,1,2,Unemployed,0,Suburban,Single,Four-Door Car,2
324,2,2,Employed,1,Suburban,Married,Four-Door Car,2
325,1,2,Unemployed,1,Suburban,Married,SUV,2
326,2,1,Unemployed,0,Suburban,Single,Four-Door Car,1
327,1,2,Employed,0,Rural,Married,Four-Door Car,2
328,1,2,Employed,0,Urban,Divorced,Four-Door Car,2
329,2,2,Employed,1,Suburban,Single,Two-Door Car,2
330,1,1,Unemployed,1,Suburban,Single,Four-Door Car,2
331,1,1,Unemployed,0,Suburban,Married,SUV,2
332,1,2,Employed,0,Suburban,Divorced,Two-Door Car,2
333,2,1,Unemployed,1,Suburban,Married,Four-Door Car,2
334,1,2,Employed,0,Suburban,Married,Four-Door Car,1
335,1,1,Unemployed,1,Suburban,Married,Two-Door Car,2
336,1,2,Employed,1,Suburban,Married,Four-Door Car,3
337,1,2,Employed,1,Rural,Married,Four-Door Car,2
338,1,2,Unemployed,0,Rural,Married,Four-Door Car,2
339,2,2,Employed,1,Rural,Married,Two-Door Car,2
340,1,1,Unemployed,0,Suburban,Single,SUV,2
341,3,1,Employed,1,Suburban,Married,SUV,1
342,1,1,Unemployed,1,Suburban,Single,Four-Door Car,2
343,1,1,Unemployed,0,Suburban,Single,Four-Door Car,2
344,1,1,Employed,0,Suburban,Single,Four-Door Car,2
345,1,2,Unemployed,0,Suburban,Single,Four-Door Car,3
346,1,1,Medical Leave,1,Suburban,Married,Four-Door Car,2
347,1,3,Disabled,1,Urban,Divorced,Four-Door Car,2
348,2,2,Employed,0,Rural,Married,Four-Door Car,2
349,2,2,Employed,0,Suburban,Married,Four-Door Car,2
350,3,2,Disabled,0,Rural,Married,Four-Door Car,2
351,1,2,Employed,0,Urban,Married,Four-Door Car,2
352,1,1,Unemployed,0,Suburban,Single,Four-Door Car,1
353,1,3,Employed,0,Rural,Married,Two-Door Car,2
354,1,1,Unemployed,0,Suburban,Married,Four-Door Car,3
355,1,1,Employed,1,Suburban,Married,Two-Door Car,1
356,1,3,Employed,0,Urban,Divorced,SUV,2
357,3,1,Unemployed,0,Suburban,Single,SUV,2
358,1,2,Employed,0,Suburban,Single,Four-Door Car,2
359,1,4,Employed,1,Suburban,Married,Four-Door Car,1
360,1,2,Unemployed,1,Suburban,Single,Four-Door Car,2
361,2,2,Unemployed,0,Suburban,Married,Four-Door Car,1
362,1,2,Unemployed,0,Suburban,Single,Sports Car,3
363,1,2,Medical Leave,1,Suburban,Single,Four-Door Car,2
364,1,1,Medical Leave,1,Suburban,Married,Four-Door Car,3
365,2,2,Employed,1,Suburban,Divorced,Four-Door Car,1
366,3,2,Employed,0,Urban,Single,SUV,1
367,1,2,Medical Leave,0,Suburban,Married,Four-Door Car,2
368,1,2,Employed,0,Rural,Married,Four-Door Car,2
369,2,3,Employed,0,Rural,Married,Four-Door Car,3
370,1,2,Employed,1,Suburban,Married,Two-Door Car,2
371,1,1,Unemployed,0,Suburban,Single,Sports Car,2
372,1,2,Disabled,1,Suburban,Single,Four-Door Car,2
373,1,2,Employed,0,Suburban,Divorced,SUV,2
374,1,3,Employed,0,Rural,Married,Two-Door Car,2
375,2,2,Employed,1,Rural,Married,SUV,1
376,1,1,Disabled,0,Suburban,Married,SUV,2
377,3,2,Employed,0,Suburban,Married,SUV,2
378,1,1,Retired,0,Suburban,Single,Two-Door Car,2
379,2,2,Employed,0,Suburban,Divorced,Four-Door Car,2
380,2,2,Employed,1,Urban,Married,Four-Door Car,2
381,1,2,Employed,0,Urban,Married,Four-Door Car,2
382,1,2,Employed,0,Suburban,Married,Two-Door Car,2
383,1,2,Employed,0,Suburban,Married,SUV,1
384,3,4,Employed,1,Suburban,Married,Two-Door Car,1
385,1,2,Employed,0,Suburban,Single,SUV,2
386,1,1,Employed,0,Urban,Married,Two-Door Car,2
387,2,2,Disabled,1,Urban,Single,Four-Door Car,2
388,1,2,Retired,1,Suburban,Married,Sports Car,2
389,1,3,Employed,0,Rural,Single,Four-Door Car,2
390,1,3,Employed,1,Urban,Married,Four-Door Car,2
391,1,2,Employed,1,Rural,Married,Four-Door Car,3
392,2,2,Unemployed,0,Suburban,Single,Four-Door Car,1
393,1,2,Unemployed,1,Suburban,Single,Two-Door Car,2
394,3,2,Employed,0,Rural,Divorced,Four-Door Car,2
395,2,1,Employed,1,Suburban,Divorced,Four-Door Car,2
396,1,2,Employed,1,Rural,Single,Two-Door Car,1
397,1,2,Employed,0,Urban,Married,SUV,1
398,3,1,Employed,0,Suburban,Single,Four-Door Car,2
399,1,1,Employed,1,Suburban,Divorced,Four-Door Car,2
400,1,2,Employed,1,Suburban,Divorced,Four-Door Car,2
401,2,2,Medical Leave,0,Suburban,Divorced,SUV,2
402,2,2,Unemployed,1,Suburban,Single,Four-Door Car,2
403,1,2,Unemployed,0,Suburban,Single,Four-Door Car,2
404,2,2,Employed,0,Rural,Married,Luxury SUV,1
405,2,1,Employed,0,Rural,Married,SUV,2
406,1,1,Employed,1,Rural,Single,Four-Door Car,2
407,1,3,Unemployed,0,Suburban,Married,Sports Car,3
408,1,1,Employed,0,Suburban,Married,Sports Car,2
409,1,1,Unemployed,1,Suburban,Married,Luxury SUV,3
410,3,2,Employed,1,Urban,Married,SUV,2
411,1,2,Employed,0,Urban,Married,Four-Door Car,2
412,1,3,Employed,0,Suburban,Married,Four-Door Car,2
413,1,1,Unemployed,0,Suburban,Divorced,Two-Door Car,2
414,2,2,Retired,0,Suburban,Divorced,Four-Door Car,2
415,1,2,Unemployed,0,Suburban,Single,Sports Car,2
416,1,2,Employed,1,Suburban,Married,Four-Door Car,2
417,1,2,Unemployed,1,Suburban,Single,Four-Door Car,2
418,1,2,Medical Leave,1,Suburban,Married,Luxury Car,3
419,1,3,Employed,1,Suburban,Married,SUV,2
420,2,2,Unemployed,1,Suburban,Married,Sports Car,2
421,1,2,Employed,0,Suburban,Married,Four-Door Car,1
422,2,1,Unemployed,1,Suburban,Single,Sports Car,1
423,1,2,Employed,0,Rural,Married,Two-Door Car,2
424,3,1,Unemployed,0,Suburban,Married,Four-Door Car,2
425,2,2,Employed,1,Rural,Married,Luxury Car,1
426,2,3,Employed,0,Urban,Married,SUV,2
427,1,3,Employed,1,Urban,Married,Two-Door Car,2
428,2,1,Retired,1,Suburban,Divorced,SUV,2
429,3,1,Employed,1,Suburban,Married,SUV,2
430,1,2,Unemployed,1,Suburban,Married,Two-Door Car,3
431,1,2,Employed,0,Suburban,Single,Two-Door Car,2
432,3,2,Employed,1,Suburban,Married,Four-Door Car,2
433,2,3,Employed,0,Suburban,Single,Sports Car,2
434,2,2,Employed,0,Suburban,Single,SUV,2
435,1,4,Unemployed,1,Suburban,Married,Luxury SUV,3
436,1,2,Employed,0,Suburban,Divorced,Two-Door Car,2
437,2,2,Employed,0,Rural,Married,Four-Door Car,3
438,1,1,Employed,1,Rural,Married,Sports Car,2
439,2,2,Unemployed,0,Suburban,Single,Four-Door Car,3
440,3,2,Medical Leave,1,Suburban,Married,Four-Door Car,1
441,1,1,Unemployed,1,Suburban,Single,Two-Door Car,2
442,2,2,Unemployed,1,Suburban,Married,SUV,2
443,1,1,Unemployed,0,Suburban,Married,Four-Door Car,2
444,2,2,Employed,0,Rural,Single,Sports Car,1
445,1,2,Disabled,0,Suburban,Divorced,Four-Door Car,2
446,2,1,Unemployed,1,Suburban,Single,Four-Door Car,2
447,1,1,Employed,1,Suburban,Married,SUV,2
448,2,2,Unemployed,1,Suburban,Single,Four-Door Car,1
449,1,2,Employed,1,Rural,Single,SUV,2
450,1,2,Medical Leave,0,Suburban,Married,Sports Car,2
451,1,2,Medical Leave,1,Suburban,Married,SUV,2
452,1,1,Unemployed,0,Suburban,Single,Four-Door Car,3
453,2,3,Employed,1,Rural,Single,Four-Door Car,1
454,1,2,Employed,1,Suburban,Divorced,Four-Door Car,2
455,1,2,Medical Leave,1,Suburban,Divorced,Four-Door Car,2
456,2,4,Unemployed,1,Urban,Married,Two-Door Car,2
457,2,2,Employed,0,Suburban,Married,Sports Car,2
458,1,1,Employed,1,Suburban,Single,Four-Door Car,2
459,2,2,Medical Leave,0,Urban,Married,Two-Door Car,3
460,1,1,Employed,0,Urban,Divorced,Four-Door Car,2
461,1,2,Disabled,0,Suburban,Married,SUV,2
462,1,2,Unemployed,1,Suburban,Single,Four-Door Car,2
463,1,4,Employed,1,Urban,Married,Sports Car,2
464,1,2,Medical Leave,1,Suburban,Married,Four-Door Car,1
465,2,2,Employed,1,Suburban,Married,Two-Door Car,1
466,1,2,Employed,1,Urban,Married,Four-Door Car,2
